scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,akaze,L09_0001,0,63.88,89.44,81.62,1056,551,6,0.0109,0.891,1.3533,9,False,PLE-08,,,41.6,27.6,3.6,4.3
Scene_09,satellite,akaze,L09_0002,1,70.66,89.41,82.04,1310,611,6,0.0098,0.534,150.0964,9,False,PLE-08,,,49.5,37.5,4.4,4.8
Scene_09,satellite,akaze,L09_0003,2,78.25,89.4,82.44,1620,695,5,0.0072,0.059,7.049,9,False,PLE-08,,,55.6,41.8,5.5,5.3
Scene_09,satellite,akaze,L09_0004,3,85.34,89.4,82.7,1900,758,6,0.0079,0.489,0.135,9,False,PLE-08,,,61.4,45.4,6.2,6.8
Scene_09,satellite,akaze,L09_0005,4,91.23,89.42,83.0,2193,848,6,0.0071,0.338,1.3854,9,False,PLE-08,,,72.9,56.2,7.8,5.5
Scene_09,satellite,akaze,L09_0006,5,93.91,89.43,83.24,2248,809,6,0.0074,0.265,12.2983,9,False,PLE-08,,,74.9,58.5,7.5,5.2
Scene_09,satellite,akaze,L09_0007,6,93.52,87.17,143.04,2401,848,5,0.0059,0.143,2.0544,9,False,PLE-08,,,115.9,99.0,7.9,5.6
Scene_09,satellite,akaze,L09_0008,7,92.33,86.78,144.67,2170,810,7,0.0086,0.547,0.0375,9,False,PLE-08,,,109.1,93.2,7.1,5.9
Scene_09,satellite,akaze,L09_0009,8,92.58,86.7,146.03,2071,781,7,0.009,0.944,0.4661,9,False,PLE-08,,,103.1,87.2,7.2,5.4
Scene_09,satellite,akaze,L09_0010,9,92.94,86.86,147.48,1878,731,5,0.0068,0.254,0.9026,9,False,PLE-08,,,105.0,89.3,6.4,6.1
Scene_09,satellite,akaze,L09_0011,10,92.89,87.26,148.38,1770,685,5,0.0073,0.211,0.1992,9,False,PLE-08,,,105.3,91.2,5.8,4.7
Scene_09,satellite,akaze,L09_0012,11,93.11,87.99,148.84,1751,681,5,0.0073,0.137,0.1941,9,False,PLE-08,,,101.2,87.6,5.7,4.7
Scene_09,satellite,akaze,L09_0013,12,93.37,89.37,105.79,1847,714,5,0.007,0.085,1.0282,9,False,PLE-08,,,91.7,76.7,5.9,5.2
Scene_09,satellite,akaze,L09_0014,13,92.56,89.78,93.72,1383,649,6,0.0092,0.522,0.0986,9,False,PLE-08,,,61.2,48.6,4.7,4.7
Scene_09,satellite,akaze,L09_0015,14,93.57,89.73,93.19,1389,647,6,0.0093,0.412,0.6552,9,False,PLE-08,,,62.5,50.9,4.6,3.9
Scene_09,satellite,akaze,L09_0016,15,93.74,89.85,93.35,1442,637,5,0.0078,0.483,0.7097,9,False,PLE-08,,,61.9,48.5,5.2,4.7
Scene_09,satellite,akaze,L09_0017,16,93.66,89.88,93.38,1484,657,5,0.0076,0.114,0.5491,9,False,PLE-08,,,60.3,47.3,5.1,4.8
Scene_09,satellite,akaze,L09_0018,17,93.23,89.83,93.36,1553,681,5,0.0073,0.183,0.0587,9,False,PLE-08,,,65.1,50.6,6.4,5.0
Scene_09,satellite,akaze,L09_0019,18,93.27,89.78,93.29,1610,693,5,0.0072,0.364,0.3023,9,False,PLE-08,,,66.9,52.4,6.1,4.8
Scene_09,satellite,akaze,L09_0020,19,93.36,89.93,93.43,1630,699,5,0.0072,0.159,1.4302,9,False,PLE-08,,,64.7,50.1,6.2,5.5
Scene_09,satellite,akaze,L09_0021,20,93.06,89.94,93.38,1625,672,5,0.0074,0.297,0.8007,9,True,,80.7444,8.0,62.3,48.8,6.2,4.1
Scene_09,satellite,akaze,L09_0022,21,93.23,89.81,93.04,1564,680,5,0.0074,0.017,0.3428,9,False,PLE-08,,,62.5,48.1,5.6,5.8
Scene_09,satellite,akaze,L09_0023,22,93.7,89.91,92.25,1491,635,5,0.0079,0.263,0.7246,9,False,PLE-08,,,63.7,50.4,5.2,5.1
Scene_09,satellite,akaze,L09_0024,23,93.92,89.94,91.82,1520,660,5,0.0076,0.178,1.1634,9,False,PLE-08,,,60.1,46.7,5.2,5.0
Scene_09,satellite,akaze,L09_0025,24,93.97,89.92,91.51,1656,699,6,0.0086,0.261,0.8442,9,False,PLE-08,,,64.7,48.6,7.0,5.8
Scene_09,satellite,akaze,L09_0026,25,93.93,89.76,91.42,1785,750,5,0.0067,0.052,0.5942,9,False,PLE-08,,,63.5,47.4,5.8,7.0
Scene_09,satellite,akaze,L09_0027,26,93.83,89.53,91.31,2009,839,5,0.006,0.277,0.2483,9,False,PLE-08,,,67.0,50.2,7.3,6.0
Scene_09,satellite,akaze,L09_0028,27,93.36,89.2,91.18,2299,875,5,0.0057,0.106,1.401,9,False,PLE-08,,,63.3,47.4,7.8,4.8
Scene_09,satellite,akaze,L09_0029,28,93.19,89.08,90.45,2462,999,5,0.005,0.031,0.1259,9,False,PLE-08,,,67.8,50.1,9.0,5.5
Scene_09,satellite,akaze,L09_0030,29,93.26,89.05,90.26,2666,1015,5,0.0049,0.077,0.574,9,False,PLE-08,,,73.8,51.3,9.1,9.9
Scene_09,satellite,akaze,L09_0031,30,93.22,89.06,90.15,2820,1041,5,0.0048,0.248,0.0617,9,False,PLE-08,,,66.4,46.0,9.4,7.1
Scene_09,satellite,akaze,L09_0032,31,93.11,89.06,90.38,3064,1074,5,0.0047,0.221,0.8957,9,False,PLE-08,,,73.4,53.9,10.0,5.9
Scene_09,satellite,akaze,L09_0033,32,93.08,89.12,90.19,3324,1125,5,0.0044,0.125,4.2595,9,False,PLE-08,,,72.9,49.8,10.6,8.9
Scene_09,satellite,akaze,L09_0034,33,93.2,89.0,90.01,3506,1118,5,0.0045,0.404,0.2397,9,False,PLE-08,,,70.4,46.5,13.1,7.4
Scene_09,satellite,akaze,L09_0035,34,93.17,88.96,89.77,3331,1077,5,0.0046,0.068,0.3375,9,False,PLE-08,,,70.2,49.3,10.9,6.1
Scene_09,satellite,akaze,L09_0036,35,93.24,89.05,89.72,2993,1030,6,0.0058,0.71,0.4459,9,False,PLE-08,,,69.6,51.4,9.3,5.8
Scene_09,satellite,akaze,L09_0037,36,93.08,89.04,89.8,2777,1011,5,0.0049,0.043,4.181,9,False,PLE-08,,,69.6,49.6,8.8,6.2
Scene_09,satellite,akaze,L09_0038,37,93.22,89.04,89.87,2637,1018,5,0.0049,0.061,2.1345,9,False,PLE-08,,,70.6,50.2,9.2,8.2
Scene_09,satellite,akaze,L09_0039,38,93.08,89.04,89.94,2701,991,5,0.005,0.169,1.6402,9,False,PLE-08,,,67.1,46.3,10.2,7.1
Scene_09,satellite,akaze,L09_0040,39,92.99,89.08,89.96,2599,985,5,0.0051,0.094,2.842,9,False,PLE-08,,,65.6,47.3,9.2,5.7
Scene_09,satellite,akaze,L09_0041,40,92.94,89.07,90.02,2498,939,6,0.0064,0.884,0.7281,9,False,PLE-08,,,64.3,46.5,8.2,6.2
Scene_09,satellite,akaze,L09_0042,41,92.71,89.05,90.08,2348,929,6,0.0065,0.091,0.5114,9,False,PLE-08,,,73.0,55.0,8.7,5.6
Scene_09,satellite,akaze,L09_0043,42,92.38,89.05,90.14,2162,904,7,0.0077,0.648,0.1659,9,False,PLE-08,,,67.3,50.3,7.4,6.6
Scene_09,satellite,akaze,L09_0044,43,92.29,89.04,90.17,2064,863,6,0.007,0.467,0.435,9,False,PLE-08,,,64.3,47.7,7.0,5.5
Scene_09,satellite,akaze,L09_0045,44,92.04,89.05,90.25,2076,842,5,0.0059,0.024,0.6841,9,True,,97.3313,8.0,58.1,43.6,7.4,3.9
Scene_09,satellite,akaze,L09_0046,45,92.03,89.03,90.29,1998,838,6,0.0072,0.705,0.8939,9,False,PLE-08,,,60.3,42.7,8.1,6.2
Scene_09,satellite,akaze,L09_0047,46,92.11,89.09,90.26,1982,843,5,0.0059,0.15,0.1354,9,False,PLE-08,,,64.7,47.4,8.1,6.0
Scene_09,satellite,akaze,L09_0048,47,92.18,89.13,90.3,1918,824,5,0.0061,0.078,0.2288,9,False,PLE-08,,,65.3,51.0,6.3,4.9
Scene_09,satellite,akaze,L09_0049,48,91.75,89.16,90.46,1538,715,6,0.0084,0.735,0.4427,9,False,PLE-08,,,55.3,42.3,5.3,4.4
Scene_09,satellite,akaze,L09_0050,49,91.77,89.16,91.13,2053,825,5,0.0061,0.109,0.8241,9,False,PLE-08,,,61.6,46.1,6.7,5.6
