scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,orb,L09_0001,0,63.88,89.44,81.62,4096,1213,7,0.0058,0.606,0.8025,9,False,PLE-08,,,42.3,12.2,17.8,6.2
Scene_09,satellite,orb,L09_0002,1,70.66,89.41,82.04,4096,1199,6,0.005,0.55,1.5435,9,False,PLE-08,,,35.8,10.1,15.9,7.1
Scene_09,satellite,orb,L09_0003,2,78.25,89.4,82.44,4096,1307,9,0.0069,0.728,0.0498,9,False,PLE-08,,,41.6,11.5,19.0,8.1
Scene_09,satellite,orb,L09_0004,3,85.34,89.4,82.7,4096,1248,8,0.0064,0.763,0.7017,9,False,PLE-08,,,37.1,12.3,14.5,7.4
Scene_09,satellite,orb,L09_0005,4,91.23,89.42,83.0,4096,1217,9,0.0074,1.218,0.7337,9,False,PLE-08,,,39.9,13.1,15.3,8.3
Scene_09,satellite,orb,L09_0006,5,93.91,89.43,83.24,4096,1230,9,0.0073,1.085,0.0596,9,False,PLE-08,,,42.7,15.4,15.9,8.0
Scene_09,satellite,orb,L09_0007,6,93.52,87.17,143.04,4096,1234,8,0.0065,0.727,0.1451,9,False,PLE-08,,,48.1,18.2,17.8,8.7
Scene_09,satellite,orb,L09_0008,7,92.33,86.78,144.67,4096,1262,7,0.0055,0.653,0.0595,9,False,PLE-08,,,47.1,16.7,18.5,8.3
Scene_09,satellite,orb,L09_0009,8,92.58,86.7,146.03,4096,1226,7,0.0057,0.368,0.6704,9,False,PLE-08,,,44.5,16.6,16.8,7.8
Scene_09,satellite,orb,L09_0010,9,92.94,86.86,147.48,4096,1228,13,0.0106,1.244,0.4787,9,False,PLE-08,,,41.9,15.6,15.3,7.7
Scene_09,satellite,orb,L09_0011,10,92.89,87.26,148.38,4096,1242,19,0.0153,1.577,0.6976,9,False,PLE-08,,,43.9,16.6,16.2,6.8
Scene_09,satellite,orb,L09_0012,11,93.11,87.99,148.84,4096,1268,7,0.0055,0.458,0.4716,9,False,PLE-08,,,45.8,19.3,15.5,7.4
Scene_09,satellite,orb,L09_0013,12,93.37,89.37,105.79,4096,1269,8,0.0063,0.945,2.6554,9,False,PLE-08,,,39.0,14.3,15.2,6.3
Scene_09,satellite,orb,L09_0014,13,92.56,89.78,93.72,4096,1215,11,0.0091,1.141,5.424,9,False,PLE-08,,,38.4,12.3,15.8,7.2
Scene_09,satellite,orb,L09_0015,14,93.57,89.73,93.19,4096,1260,10,0.0079,1.079,0.7589,9,True,,62.4591,8.0,33.3,11.5,14.2,4.7
Scene_09,satellite,orb,L09_0016,15,93.74,89.85,93.35,4096,1172,6,0.0051,0.367,1.1192,9,False,PLE-08,,,35.3,11.3,14.4,6.4
Scene_09,satellite,orb,L09_0017,16,93.66,89.88,93.38,4096,1175,8,0.0068,0.876,0.3788,9,False,PLE-08,,,36.0,11.5,14.4,7.0
Scene_09,satellite,orb,L09_0018,17,93.23,89.83,93.36,4096,1175,10,0.0085,1.295,9.4839,9,False,PLE-08,,,35.5,12.1,13.5,6.8
Scene_09,satellite,orb,L09_0019,18,93.27,89.78,93.29,4096,1207,7,0.0058,0.696,11.5075,9,False,PLE-08,,,37.4,11.8,15.8,6.8
Scene_09,satellite,orb,L09_0020,19,93.36,89.93,93.43,4096,1171,6,0.0051,0.289,1.0545,9,False,PLE-08,,,36.3,11.9,14.9,6.4
Scene_09,satellite,orb,L09_0021,20,93.06,89.94,93.38,4096,1238,6,0.0048,0.38,0.5958,9,False,PLE-08,,,37.2,12.1,15.0,6.8
Scene_09,satellite,orb,L09_0022,21,93.23,89.81,93.04,4096,1243,6,0.0048,0.526,0.6462,9,False,PLE-08,,,37.8,11.9,15.7,7.1
Scene_09,satellite,orb,L09_0023,22,93.7,89.91,92.25,4096,1201,7,0.0058,0.235,0.6146,9,False,PLE-08,,,36.1,11.5,14.8,6.5
Scene_09,satellite,orb,L09_0024,23,93.92,89.94,91.82,4096,1158,6,0.0052,0.43,3.0576,9,False,PLE-08,,,37.7,13.2,15.4,6.0
Scene_09,satellite,orb,L09_0025,24,93.97,89.92,91.51,4096,1244,8,0.0064,0.767,0.4972,9,False,PLE-08,,,36.8,11.1,16.0,6.5
Scene_09,satellite,orb,L09_0026,25,93.93,89.76,91.42,4096,1286,9,0.007,1.079,0.7078,9,False,PLE-08,,,36.0,11.4,14.8,6.7
Scene_09,satellite,orb,L09_0027,26,93.83,89.53,91.31,4096,1257,8,0.0064,1.268,1.8556,9,False,PLE-08,,,39.8,12.1,15.1,9.5
Scene_09,satellite,orb,L09_0028,27,93.36,89.2,91.18,4096,1277,8,0.0063,0.972,0.7249,9,False,PLE-08,,,37.7,12.9,15.0,7.0
Scene_09,satellite,orb,L09_0029,28,93.19,89.08,90.45,4096,1311,6,0.0046,0.381,1.9579,9,False,PLE-08,,,38.9,13.8,15.0,6.8
Scene_09,satellite,orb,L09_0030,29,93.26,89.05,90.26,4096,1310,6,0.0046,0.643,0.4604,9,False,PLE-08,,,40.6,13.9,14.0,9.5
Scene_09,satellite,orb,L09_0031,30,93.22,89.06,90.15,4096,1295,6,0.0046,0.228,1.3847,9,False,PLE-08,,,43.5,14.2,15.9,10.2
Scene_09,satellite,orb,L09_0032,31,93.11,89.06,90.38,4096,1285,6,0.0047,0.171,0.1921,9,False,PLE-08,,,50.0,19.1,17.0,8.3
Scene_09,satellite,orb,L09_0033,32,93.08,89.12,90.19,4096,1278,6,0.0047,0.299,0.1988,9,False,PLE-08,,,45.9,16.3,17.6,8.6
Scene_09,satellite,orb,L09_0034,33,93.2,89.0,90.01,4096,1321,6,0.0045,0.28,0.1355,9,False,PLE-08,,,48.8,18.4,18.1,8.5
Scene_09,satellite,orb,L09_0035,34,93.17,88.96,89.77,4096,1262,6,0.0048,0.276,1.0602,9,False,PLE-08,,,49.8,19.1,19.0,8.1
Scene_09,satellite,orb,L09_0036,35,93.24,89.05,89.72,4096,1329,7,0.0053,0.684,0.2917,9,False,PLE-08,,,44.8,16.0,17.2,8.2
Scene_09,satellite,orb,L09_0037,36,93.08,89.04,89.8,4096,1302,6,0.0046,0.489,0.2611,9,False,PLE-08,,,41.9,15.1,15.4,7.9
Scene_09,satellite,orb,L09_0038,37,93.22,89.04,89.87,4096,1280,11,0.0086,0.745,0.5478,9,False,PLE-08,,,44.0,16.1,16.1,8.3
Scene_09,satellite,orb,L09_0039,38,93.08,89.04,89.94,4096,1287,5,0.0039,0.236,0.1193,9,False,PLE-08,,,41.1,14.2,15.7,8.0
Scene_09,satellite,orb,L09_0040,39,92.99,89.08,89.96,4096,1275,7,0.0055,0.372,3.7784,9,False,PLE-08,,,41.2,13.3,16.3,8.3
Scene_09,satellite,orb,L09_0041,40,92.94,89.07,90.02,4096,1298,12,0.0092,1.559,1.038,9,False,PLE-08,,,44.2,13.4,16.9,10.5
Scene_09,satellite,orb,L09_0042,41,92.71,89.05,90.08,4096,1277,9,0.007,0.796,0.6143,9,False,PLE-08,,,43.4,14.2,17.2,8.9
Scene_09,satellite,orb,L09_0043,42,92.38,89.05,90.14,4096,1254,11,0.0088,1.159,0.7977,9,False,PLE-08,,,40.7,13.2,16.7,7.4
Scene_09,satellite,orb,L09_0044,43,92.29,89.04,90.17,4096,1202,6,0.005,0.335,1.1451,9,True,,124.2525,8.0,37.7,12.5,16.9,4.9
Scene_09,satellite,orb,L09_0045,44,92.04,89.05,90.25,4096,1230,7,0.0057,0.633,0.1015,9,False,PLE-08,,,42.7,13.9,17.2,8.0
Scene_09,satellite,orb,L09_0046,45,92.03,89.03,90.29,4096,1300,6,0.0046,0.328,0.0379,9,False,PLE-08,,,38.8,13.3,15.3,7.0
Scene_09,satellite,orb,L09_0047,46,92.11,89.09,90.26,4096,1311,7,0.0053,0.704,0.1922,9,False,PLE-08,,,39.5,13.8,15.2,7.2
Scene_09,satellite,orb,L09_0048,47,92.18,89.13,90.3,4096,1309,6,0.0046,0.562,2.0278,9,False,PLE-08,,,39.5,13.3,14.9,7.9
Scene_09,satellite,orb,L09_0049,48,91.75,89.16,90.46,4096,1323,6,0.0045,0.31,0.96,9,False,PLE-08,,,43.2,17.3,15.0,7.9
Scene_09,satellite,orb,L09_0050,49,91.77,89.16,91.13,4096,1327,7,0.0053,0.912,0.3632,9,False,PLE-08,,,39.3,14.0,15.3,7.0
Scene_09,satellite,orb,L09_0051,50,91.72,89.18,91.56,4096,1337,7,0.0052,0.502,0.5281,9,False,PLE-08,,,37.6,13.9,13.8,6.8
Scene_09,satellite,orb,L09_0052,51,91.84,89.01,91.52,4096,1297,8,0.0062,0.809,0.1054,9,False,PLE-08,,,38.6,13.6,15.0,6.9
Scene_09,satellite,orb,L09_0053,52,91.96,88.9,91.21,4096,1248,7,0.0056,0.323,0.3682,9,False,PLE-08,,,40.9,14.8,14.8,7.7
Scene_09,satellite,orb,L09_0054,53,92.21,88.65,90.92,4096,1312,6,0.0046,0.425,2.4459,9,False,PLE-08,,,38.8,14.0,13.9,7.8
Scene_09,satellite,orb,L09_0055,54,92.27,88.53,90.68,4096,1292,6,0.0046,0.185,0.0615,9,False,PLE-08,,,41.9,13.6,17.3,7.6
Scene_09,satellite,orb,L09_0056,55,92.13,88.3,90.49,4096,1201,12,0.01,1.619,0.5721,9,False,PLE-08,,,40.8,13.9,16.0,7.4
Scene_09,satellite,orb,L09_0057,56,92.0,88.17,90.28,4096,1275,21,0.0165,1.419,0.8962,9,True,,19.6439,8.0,39.0,13.7,16.1,5.6
Scene_09,satellite,orb,L09_0058,57,91.98,88.02,90.32,4096,1313,13,0.0099,1.821,1.0702,9,True,,5.9738,8.0,38.3,13.6,15.8,5.6
Scene_09,satellite,orb,L09_0059,58,91.72,87.84,90.56,4096,1301,8,0.0061,0.636,0.2095,9,False,PLE-08,,,38.6,12.5,15.5,7.4
Scene_09,satellite,orb,L09_0060,59,91.43,87.65,90.86,4096,1211,6,0.005,0.238,0.4996,9,False,PLE-08,,,37.9,13.3,15.0,6.4
Scene_09,satellite,orb,L09_0061,60,91.04,87.58,90.79,4096,1260,7,0.0056,0.363,0.259,9,False,PLE-08,,,40.5,13.7,16.8,6.9
Scene_09,satellite,orb,L09_0062,61,90.5,87.53,90.71,4096,1349,6,0.0044,0.447,0.0563,9,False,PLE-08,,,39.0,13.7,15.1,7.1
Scene_09,satellite,orb,L09_0063,62,90.2,87.52,90.45,4096,1286,6,0.0047,0.164,3.8872,9,False,PLE-08,,,39.2,14.4,14.8,6.8
Scene_09,satellite,orb,L09_0064,63,90.01,87.38,90.81,4096,1291,6,0.0046,0.508,1.8179,9,False,PLE-08,,,39.0,15.1,14.3,6.5
Scene_09,satellite,orb,L09_0065,64,89.87,87.36,90.65,4096,1313,7,0.0053,0.808,0.6706,9,False,PLE-08,,,41.6,15.0,15.7,7.7
Scene_09,satellite,orb,L09_0066,65,89.9,87.4,90.57,4096,1277,6,0.0047,0.549,1.0164,9,True,,230.7234,8.0,42.1,17.1,16.5,4.9
Scene_09,satellite,orb,L09_0067,66,89.58,87.54,89.03,4096,1272,6,0.0047,0.477,0.8781,9,False,PLE-08,,,40.1,14.1,14.6,8.1
Scene_09,satellite,orb,L09_0068,67,89.6,87.61,89.35,4096,1273,6,0.0047,0.358,0.1496,9,False,PLE-08,,,41.4,15.6,16.3,6.4
Scene_09,satellite,orb,L09_0069,68,90.01,87.81,89.47,4096,1271,6,0.0047,0.26,3.4472,9,False,PLE-08,,,43.9,16.0,15.0,9.5
Scene_09,satellite,orb,L09_0070,69,90.05,88.05,89.66,4096,1293,7,0.0054,0.488,0.0915,9,False,PLE-08,,,42.0,15.3,16.8,6.6
Scene_09,satellite,orb,L09_0071,70,90.05,88.23,89.87,4096,1233,6,0.0049,0.219,0.0384,9,False,PLE-08,,,45.6,18.1,16.2,8.1
Scene_09,satellite,orb,L09_0072,71,90.25,88.33,90.11,4096,1200,7,0.0058,0.824,1.1426,9,False,PLE-08,,,41.1,14.8,14.5,8.3
Scene_09,satellite,orb,L09_0073,72,90.15,88.41,90.24,4096,1262,7,0.0055,0.672,0.8389,9,False,PLE-08,,,39.5,13.7,15.4,7.2
Scene_09,satellite,orb,L09_0074,73,90.22,88.45,90.42,4096,1230,7,0.0057,0.662,0.0135,9,False,PLE-08,,,38.6,13.8,13.9,7.7
Scene_09,satellite,orb,L09_0075,74,90.47,88.56,90.57,4096,1258,10,0.0079,0.914,0.4465,9,False,PLE-08,,,39.5,12.8,15.2,8.3
Scene_09,satellite,orb,L09_0076,75,90.71,88.64,90.67,4096,1252,11,0.0088,0.564,0.8216,9,False,PLE-08,,,40.5,14.5,15.7,6.6
Scene_09,satellite,orb,L09_0077,76,90.6,88.8,90.7,4096,1214,8,0.0066,0.958,1.0974,9,False,PLE-08,,,40.8,15.9,14.9,6.5
Scene_09,satellite,orb,L09_0078,77,90.7,88.87,90.66,4096,1248,9,0.0072,0.682,0.1734,9,False,PLE-08,,,38.1,13.0,15.3,6.8
Scene_09,satellite,orb,L09_0079,78,90.43,88.91,90.7,4096,1268,6,0.0047,0.221,0.9744,9,False,PLE-08,,,36.0,12.6,13.7,6.6
