scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,sift,L09_0001,0,63.88,89.44,81.62,2855,1081,6,0.0056,0.0,11.8989,9,False,PLE-08,,,3264.4,387.7,2739.9,36.3
Scene_09,satellite,sift,L09_0002,1,70.66,89.41,82.04,3632,1267,6,0.0047,0.0,8.859,9,False,PLE-08,,,4248.2,480.0,3680.0,42.8
Scene_09,satellite,sift,L09_0003,2,78.25,89.4,82.44,4096,1380,7,0.0051,0.0,0.9426,9,False,PLE-08,,,5081.8,609.9,4402.8,42.0
Scene_09,satellite,sift,L09_0004,3,85.34,89.4,82.7,4096,1397,6,0.0043,0.0,0.4245,9,False,PLE-08,,,5309.7,728.0,4504.6,47.9
Scene_09,satellite,sift,L09_0005,4,91.23,89.42,83.0,4096,1389,6,0.0043,0.0,0.7844,9,False,PLE-08,,,5426.0,832.4,4486.1,44.8
Scene_09,satellite,sift,L09_0006,5,93.91,89.43,83.24,4096,1372,6,0.0044,0.0,1.0481,9,False,PLE-08,,,5008.1,872.1,4047.1,47.0
Scene_09,satellite,sift,L09_0007,6,93.52,87.17,143.04,4096,1341,6,0.0045,,3.7065,9,False,PLE-08,,,5239.0,1139.5,3971.4,47.9
Scene_09,satellite,sift,L09_0008,7,92.33,86.78,144.67,4096,1327,6,0.0045,0.0,0.9131,9,False,PLE-08,,,5145.8,1014.2,4002.5,45.7
Scene_09,satellite,sift,L09_0009,8,92.58,86.7,146.03,4096,1363,6,0.0044,0.0,0.3397,9,False,PLE-08,,,5293.8,1131.7,4035.5,40.0
Scene_09,satellite,sift,L09_0010,9,92.94,86.86,147.48,4096,1417,5,0.0035,0.0,0.7964,9,False,PLE-08,,,5262.2,1023.8,4104.5,44.5
Scene_09,satellite,sift,L09_0011,10,92.89,87.26,148.38,4096,1374,5,0.0036,0.007,2.1092,9,False,PLE-08,,,5279.6,1118.2,4032.1,48.3
Scene_09,satellite,sift,L09_0012,11,93.11,87.99,148.84,4096,1420,6,0.0042,0.005,0.1457,9,False,PLE-08,,,5086.8,1086.9,3875.5,43.5
Scene_09,satellite,sift,L09_0013,12,93.37,89.37,105.79,4096,1446,6,0.0041,0.0,0.4045,9,False,PLE-08,,,5098.8,918.3,4063.4,44.3
Scene_09,satellite,sift,L09_0014,13,92.56,89.78,93.72,3952,1398,6,0.0043,0.0,0.1515,9,False,PLE-08,,,4738.2,680.8,3942.3,47.0
Scene_09,satellite,sift,L09_0015,14,93.57,89.73,93.19,3800,1302,6,0.0046,0.0,23.9157,9,False,PLE-08,,,4513.9,688.7,3711.7,38.3
Scene_09,satellite,sift,L09_0016,15,93.74,89.85,93.35,3688,1218,6,0.0049,,0.8414,9,True,,152.8848,8.0,4278.1,626.8,3556.3,28.4
Scene_09,satellite,sift,L09_0017,16,93.66,89.88,93.38,4020,1424,6,0.0042,0.0,0.6752,9,False,PLE-08,,,4681.6,695.0,3863.2,46.4
Scene_09,satellite,sift,L09_0018,17,93.23,89.83,93.36,4096,1399,6,0.0043,0.16,0.6472,9,False,PLE-08,,,4815.5,698.5,4033.8,47.9
Scene_09,satellite,sift,L09_0019,18,93.27,89.78,93.29,4096,1379,6,0.0044,,4.6724,9,False,PLE-08,,,4718.3,620.0,3987.0,44.9
Scene_09,satellite,sift,L09_0020,19,93.36,89.93,93.43,4096,1393,6,0.0043,,0.9189,9,False,PLE-08,,,4867.6,715.1,4058.8,43.4
Scene_09,satellite,sift,L09_0021,20,93.06,89.94,93.38,4096,1348,6,0.0045,,0.6691,9,False,PLE-08,,,4937.3,714.4,4105.5,41.3
Scene_09,satellite,sift,L09_0022,21,93.23,89.81,93.04,4096,1381,6,0.0043,0.0,1.5845,9,False,PLE-08,,,5020.1,697.2,4241.0,45.7
Scene_09,satellite,sift,L09_0023,22,93.7,89.91,92.25,4096,1386,6,0.0043,0.0,0.3802,9,False,PLE-08,,,4801.3,662.3,4034.5,47.3
Scene_09,satellite,sift,L09_0024,23,93.92,89.94,91.82,4091,1355,7,0.0052,0.398,1.7307,9,False,PLE-08,,,4826.2,670.6,4045.3,47.0
Scene_09,satellite,sift,L09_0025,24,93.97,89.92,91.51,4096,1426,6,0.0042,0.0,12.1109,9,False,PLE-08,,,4668.7,677.8,3906.0,44.5
Scene_09,satellite,sift,L09_0026,25,93.93,89.76,91.42,4096,1406,6,0.0043,0.0,1.0131,9,False,PLE-08,,,4853.1,735.5,4038.4,42.5
Scene_09,satellite,sift,L09_0027,26,93.83,89.53,91.31,4096,1417,6,0.0042,,1.9177,9,False,PLE-08,,,4679.6,615.8,3955.9,40.8
Scene_09,satellite,sift,L09_0028,27,93.36,89.2,91.18,4096,1413,6,0.0042,0.0,1.3276,9,False,PLE-08,,,4915.6,696.8,4113.0,44.9
Scene_09,satellite,sift,L09_0029,28,93.19,89.08,90.45,4096,1475,6,0.0041,0.005,0.1311,9,False,PLE-08,,,4800.2,664.1,4029.9,44.0
Scene_09,satellite,sift,L09_0030,29,93.26,89.05,90.26,4096,1520,6,0.0039,0.0,0.3876,9,False,PLE-08,,,4767.6,704.5,3955.0,47.6
Scene_09,satellite,sift,L09_0031,30,93.22,89.06,90.15,4096,1533,6,0.0039,0.003,0.1982,9,False,PLE-08,,,4968.9,685.1,4179.2,45.0
