scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,xfeat_mnn,L09_0001,0,63.88,89.44,81.62,4096,503,12,0.0239,1.757,1.0676,9,True,,1.1579,8.0,3040.1,1670.8,1223.8,37.0
Scene_09,satellite,xfeat_mnn,L09_0002,1,70.66,89.41,82.04,4096,513,19,0.037,1.727,1.0947,9,False,PLE-08,,,3204.2,1785.4,1355.1,31.7
Scene_09,satellite,xfeat_mnn,L09_0003,2,78.25,89.4,82.44,4096,486,9,0.0185,1.118,0.8525,9,True,,2.388,8.0,4175.1,2140.7,1961.3,31.8
Scene_09,satellite,xfeat_mnn,L09_0004,3,85.34,89.4,82.7,4096,558,26,0.0466,2.011,1.0004,9,True,,2.5505,8.0,4217.2,2823.0,1316.5,38.3
Scene_09,satellite,xfeat_mnn,L09_0005,4,91.23,89.42,83.0,4096,529,26,0.0491,1.952,0.8115,9,True,,3.2102,8.0,4075.7,2684.1,1299.3,49.7
Scene_09,satellite,xfeat_mnn,L09_0006,5,93.91,89.43,83.24,4096,539,21,0.039,1.627,0.9378,9,True,,3.0154,8.0,4705.0,3314.2,1286.3,58.3
Scene_09,satellite,xfeat_mnn,L09_0007,6,93.52,87.17,143.04,4096,429,27,0.0629,1.998,0.9281,9,True,,3.6569,8.0,6616.8,5019.1,1481.8,31.8
Scene_09,satellite,xfeat_mnn,L09_0008,7,92.33,86.78,144.67,4096,426,26,0.061,1.602,2.3131,9,False,PLE-08,,,6277.1,4743.8,1464.3,32.4
Scene_09,satellite,xfeat_mnn,L09_0009,8,92.58,86.7,146.03,4096,395,10,0.0253,1.204,1.1797,9,False,PLE-08,,,6696.4,5171.1,1433.8,37.0
Scene_09,satellite,xfeat_mnn,L09_0010,9,92.94,86.86,147.48,4096,437,8,0.0183,0.72,0.4086,9,False,PLE-08,,,5932.5,4421.9,1414.2,38.1
Scene_09,satellite,xfeat_mnn,L09_0011,10,92.89,87.26,148.38,4096,450,11,0.0244,1.415,0.9602,9,True,,6.6446,8.0,5958.2,4407.8,1445.4,56.1
Scene_09,satellite,xfeat_mnn,L09_0012,11,93.11,87.99,148.84,4096,406,12,0.0296,1.281,3.8928,9,False,PLE-08,,,5950.6,4373.8,1487.9,37.3
Scene_09,satellite,xfeat_mnn,L09_0013,12,93.37,89.37,105.79,4096,447,11,0.0246,1.068,0.7266,9,True,,1.2673,8.0,5260.1,3767.2,1410.5,30.5
Scene_09,satellite,xfeat_mnn,L09_0014,13,92.56,89.78,93.72,4096,476,9,0.0189,1.255,0.3051,9,False,PLE-08,,,4780.8,3017.1,1683.2,35.0
Scene_09,satellite,xfeat_mnn,L09_0015,14,93.57,89.73,93.19,4096,488,9,0.0184,0.825,0.3841,9,False,PLE-08,,,4838.4,3051.5,1692.4,37.6
Scene_09,satellite,xfeat_mnn,L09_0016,15,93.74,89.85,93.35,4096,443,6,0.0135,0.428,0.6942,9,False,PLE-08,,,4482.8,2998.3,1405.0,29.3
Scene_09,satellite,xfeat_mnn,L09_0017,16,93.66,89.88,93.38,4096,437,12,0.0275,1.476,0.777,9,True,,2.5149,8.0,4238.7,2780.2,1373.6,29.7
Scene_09,satellite,xfeat_mnn,L09_0018,17,93.23,89.83,93.36,4096,481,7,0.0146,0.844,0.779,9,False,PLE-08,,,4698.8,3242.5,1388.7,35.2
Scene_09,satellite,xfeat_mnn,L09_0019,18,93.27,89.78,93.29,4096,530,7,0.0132,1.258,4.2038,9,False,PLE-08,,,4478.1,2751.6,1646.1,39.2
Scene_09,satellite,xfeat_mnn,L09_0020,19,93.36,89.93,93.43,4096,565,6,0.0106,0.778,1.2006,9,True,,127.8762,8.0,5743.4,3742.3,1911.8,29.5
Scene_09,satellite,xfeat_mnn,L09_0021,20,93.06,89.94,93.38,4096,527,9,0.0171,0.537,0.8197,9,True,,18.462,8.0,3988.3,2527.9,1386.7,29.2
Scene_09,satellite,xfeat_mnn,L09_0022,21,93.23,89.81,93.04,4096,467,6,0.0128,0.402,0.671,9,False,PLE-08,,,3928.3,2420.1,1404.2,41.5
Scene_09,satellite,xfeat_mnn,L09_0023,22,93.7,89.91,92.25,4096,408,6,0.0147,0.365,0.6352,9,False,PLE-08,,,4664.0,2910.9,1640.9,55.5
Scene_09,satellite,xfeat_mnn,L09_0024,23,93.92,89.94,91.82,4096,475,10,0.0211,1.067,0.6186,9,False,PLE-08,,,4233.3,2689.4,1444.3,35.1
Scene_09,satellite,xfeat_mnn,L09_0025,24,93.97,89.92,91.51,4096,457,15,0.0328,1.385,1.207,9,True,,2.1768,8.0,3565.2,2251.3,1215.1,35.3
Scene_09,satellite,xfeat_mnn,L09_0026,25,93.93,89.76,91.42,4096,465,9,0.0194,1.062,0.8704,9,True,,0.8299,8.0,4455.6,2588.2,1801.0,28.5
Scene_09,satellite,xfeat_mnn,L09_0027,26,93.83,89.53,91.31,4096,481,8,0.0166,0.736,0.5094,9,False,PLE-08,,,4044.2,2594.6,1368.1,32.3
Scene_09,satellite,xfeat_mnn,L09_0028,27,93.36,89.2,91.18,4096,489,9,0.0184,0.775,0.7085,9,True,,2.4799,8.0,4373.2,2604.8,1706.7,28.0
Scene_09,satellite,xfeat_mnn,L09_0029,28,93.19,89.08,90.45,4096,447,12,0.0268,1.662,0.9996,9,True,,5.9622,8.0,4427.7,2736.0,1617.4,30.6
Scene_09,satellite,xfeat_mnn,L09_0030,29,93.26,89.05,90.26,4096,414,11,0.0266,2.17,0.6812,9,True,,3.0208,8.0,4066.7,2346.2,1646.6,30.1
Scene_09,satellite,xfeat_mnn,L09_0031,30,93.22,89.06,90.15,4096,376,5,0.0133,0.082,0.683,9,False,PLE-08,,,3803.4,2482.6,1230.9,26.7
Scene_09,satellite,xfeat_mnn,L09_0032,31,93.11,89.06,90.38,4096,440,5,0.0114,0.044,0.4062,9,False,PLE-08,,,4066.6,2634.1,1354.5,27.1
Scene_09,satellite,xfeat_mnn,L09_0033,32,93.08,89.12,90.19,4096,420,5,0.0119,0.284,0.7306,9,False,PLE-08,,,3398.1,2215.9,1108.1,24.5
Scene_09,satellite,xfeat_mnn,L09_0034,33,93.2,89.0,90.01,4096,411,6,0.0146,0.648,1.1421,9,False,PLE-08,,,2966.8,1577.4,1336.0,24.2
Scene_09,satellite,xfeat_mnn,L09_0035,34,93.17,88.96,89.77,4096,416,6,0.0144,0.47,1.6945,9,False,PLE-08,,,3142.6,1912.6,1173.0,23.8
Scene_09,satellite,xfeat_mnn,L09_0036,35,93.24,89.05,89.72,4096,366,7,0.0191,1.057,6.3346,9,False,PLE-08,,,3177.9,1956.0,1160.5,25.0
Scene_09,satellite,xfeat_mnn,L09_0037,36,93.08,89.04,89.8,4096,426,10,0.0235,1.764,0.9667,9,True,,3.069,8.0,2970.2,1779.1,1133.6,27.1
Scene_09,satellite,xfeat_mnn,L09_0038,37,93.22,89.04,89.87,4096,438,20,0.0457,1.928,0.8625,9,True,,4.441,8.0,2835.4,1686.1,1093.4,27.3
Scene_09,satellite,xfeat_mnn,L09_0039,38,93.08,89.04,89.94,4096,436,5,0.0115,0.152,0.7728,9,True,,186.7502,8.0,2718.1,1609.8,1058.8,17.8
Scene_09,satellite,xfeat_mnn,L09_0040,39,92.99,89.08,89.96,4096,411,11,0.0268,1.633,0.9148,9,True,,2.5925,8.0,2762.7,1630.4,1082.0,17.3
Scene_09,satellite,xfeat_mnn,L09_0041,40,92.94,89.07,90.02,4096,390,16,0.041,1.873,0.5312,9,False,PLE-08,,,2736.3,1558.2,1122.6,26.1
Scene_09,satellite,xfeat_mnn,L09_0042,41,92.71,89.05,90.08,4096,380,17,0.0447,1.527,0.4549,9,False,PLE-08,,,3000.7,1650.9,1295.5,26.0
Scene_09,satellite,xfeat_mnn,L09_0043,42,92.38,89.05,90.14,4096,379,5,0.0132,0.109,0.8318,9,True,,79.4184,8.0,3709.2,2319.3,1336.4,19.2
Scene_09,satellite,xfeat_mnn,L09_0044,43,92.29,89.04,90.17,4096,403,7,0.0174,0.386,0.6189,9,False,PLE-08,,,3059.4,1776.6,1222.1,27.2
Scene_09,satellite,xfeat_mnn,L09_0045,44,92.04,89.05,90.25,4096,396,9,0.0227,0.937,0.6531,9,True,,5.2507,8.0,2695.8,1623.6,1025.6,17.9
