scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,xfeat_lg,L09_0001,0,63.88,89.44,81.62,4096,4,0,0.0,,,9,False,PLE-05,,,731.6,54.7,669.3,0
Scene_09,satellite,xfeat_lg,L09_0002,1,70.66,89.41,82.04,4096,24,8,0.3333,0.905,26.3193,9,False,PLE-08,,,777.3,54.5,719.3,0.6
Scene_09,satellite,xfeat_lg,L09_0003,2,78.25,89.4,82.44,4096,11,0,0.0,,,9,False,PLE-05,,,774.5,64.8,706.6,0
Scene_09,satellite,xfeat_lg,L09_0004,3,85.34,89.4,82.7,4096,8,0,0.0,,,9,False,PLE-05,,,827.3,75.3,749.0,0
Scene_09,satellite,xfeat_lg,L09_0005,4,91.23,89.42,83.0,4096,25,11,0.44,1.064,0.9807,9,True,,11.3143,8.0,835.4,88.3,743.4,0.5
Scene_09,satellite,xfeat_lg,L09_0006,5,93.91,89.43,83.24,4096,35,7,0.2,0.972,0.8113,9,True,,2.4555,8.0,852.6,94.2,754.7,0.5
Scene_09,satellite,xfeat_lg,L09_0007,6,93.52,87.17,143.04,4096,60,16,0.2667,1.406,0.4136,9,False,PLE-08,,,1106.6,168.3,933.8,1.4
Scene_09,satellite,xfeat_lg,L09_0008,7,92.33,86.78,144.67,4096,61,13,0.2131,1.331,2.8403,9,False,PLE-08,,,1050.8,159.2,886.3,2.2
Scene_09,satellite,xfeat_lg,L09_0009,8,92.58,86.7,146.03,4096,57,13,0.2281,1.115,0.6608,9,False,PLE-08,,,970.4,145.1,819.2,2.8
Scene_09,satellite,xfeat_lg,L09_0010,9,92.94,86.86,147.48,4096,35,10,0.2857,1.833,0.5107,9,False,PLE-08,,,989.4,144.6,840.5,1.1
Scene_09,satellite,xfeat_lg,L09_0011,10,92.89,87.26,148.38,4096,35,15,0.4286,1.53,1.0182,9,False,PLE-08,,,1000.2,148.3,848.3,0.5
Scene_09,satellite,xfeat_lg,L09_0012,11,93.11,87.99,148.84,4096,18,6,0.3333,0.329,0.7127,9,True,,2.4311,8.0,1014.3,149.7,860.7,0.6
Scene_09,satellite,xfeat_lg,L09_0013,12,93.37,89.37,105.79,4096,33,10,0.303,1.942,1.0424,9,False,PLE-08,,,1060.8,107.5,948.2,1.1
Scene_09,satellite,xfeat_lg,L09_0014,13,92.56,89.78,93.72,4096,38,10,0.2632,1.143,0.5629,9,False,PLE-08,,,891.0,84.7,801.8,1.4
Scene_09,satellite,xfeat_lg,L09_0015,14,93.57,89.73,93.19,4096,14,9,0.6429,1.181,0.7308,9,False,PLE-08,,,886.6,82.6,799.4,0.2
Scene_09,satellite,xfeat_lg,L09_0016,15,93.74,89.85,93.35,4096,34,8,0.2353,0.837,0.0915,9,False,PLE-08,,,919.3,86.4,828.7,1.1
Scene_09,satellite,xfeat_lg,L09_0017,16,93.66,89.88,93.38,4096,27,8,0.2963,0.858,0.5286,9,False,PLE-08,,,902.3,86.5,812.0,0.7
Scene_09,satellite,xfeat_lg,L09_0018,17,93.23,89.83,93.36,4096,40,10,0.25,0.963,1.0207,9,True,,9.5677,8.0,902.4,86.4,810.6,1.5
