scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,xfeat_mnn,L09_0001,0,63.88,89.44,81.62,4096,100,6,0.06,0.61,0.5087,9,False,PLE-08,,,66.5,44.9,11.5,2.4
Scene_09,satellite,xfeat_mnn,L09_0002,1,70.66,89.41,82.04,4096,104,8,0.0769,0.969,0.9813,9,False,PLE-08,,,71.3,52.4,14.2,1.8
Scene_09,satellite,xfeat_mnn,L09_0003,2,78.25,89.4,82.44,4096,99,5,0.0505,0.523,0.7795,9,True,,169.7562,8.0,81.4,65.6,10.9,1.4
Scene_09,satellite,xfeat_mnn,L09_0004,3,85.34,89.4,82.7,4096,123,11,0.0894,1.475,0.7894,9,True,,3.3772,8.0,93.5,80.3,8.2,2.1
Scene_09,satellite,xfeat_mnn,L09_0005,4,91.23,89.42,83.0,4096,123,6,0.0488,0.673,0.6778,9,True,,2.3587,8.0,112.6,98.2,9.1,1.9
Scene_09,satellite,xfeat_mnn,L09_0006,5,93.91,89.43,83.24,4096,126,10,0.0794,1.049,1.7047,9,False,PLE-08,,,128.4,114.8,8.0,2.4
Scene_09,satellite,xfeat_mnn,L09_0007,6,93.52,87.17,143.04,4096,97,9,0.0928,0.98,0.5864,9,False,PLE-08,,,161.4,148.3,7.3,2.0
Scene_09,satellite,xfeat_mnn,L09_0008,7,92.33,86.78,144.67,4096,82,9,0.1098,1.223,5.2924,9,False,PLE-08,,,156.3,143.1,8.5,1.6
Scene_09,satellite,xfeat_mnn,L09_0009,8,92.58,86.7,146.03,4096,75,8,0.1067,0.715,13.2558,9,False,PLE-08,,,152.7,139.8,7.9,1.7
Scene_09,satellite,xfeat_mnn,L09_0010,9,92.94,86.86,147.48,4096,81,11,0.1358,1.682,2.5503,9,False,PLE-08,,,146.1,134.4,7.2,1.6
Scene_09,satellite,xfeat_mnn,L09_0011,10,92.89,87.26,148.38,4096,86,5,0.0581,0.241,0.8704,9,False,PLE-08,,,154.9,141.2,8.3,2.2
Scene_09,satellite,xfeat_mnn,L09_0012,11,93.11,87.99,148.84,4096,98,6,0.0612,0.678,0.1527,9,False,PLE-08,,,142.3,129.3,8.2,1.6
Scene_09,satellite,xfeat_mnn,L09_0013,12,93.37,89.37,105.79,4096,107,6,0.0561,0.504,0.6231,9,False,PLE-08,,,123.7,110.0,7.5,2.7
Scene_09,satellite,xfeat_mnn,L09_0014,13,92.56,89.78,93.72,4096,97,6,0.0619,0.552,0.6488,9,False,PLE-08,,,102.6,91.4,5.8,1.8
Scene_09,satellite,xfeat_mnn,L09_0015,14,93.57,89.73,93.19,4096,95,7,0.0737,0.742,1.3111,9,False,PLE-08,,,99.5,87.4,7.0,1.5
Scene_09,satellite,xfeat_mnn,L09_0016,15,93.74,89.85,93.35,4096,106,6,0.0566,0.615,1.0296,9,False,PLE-08,,,96.6,79.8,11.4,2.4
Scene_09,satellite,xfeat_mnn,L09_0017,16,93.66,89.88,93.38,4096,81,5,0.0617,0.281,1.0746,9,False,PLE-08,,,98.1,85.5,8.2,1.5
Scene_09,satellite,xfeat_mnn,L09_0018,17,93.23,89.83,93.36,4096,88,5,0.0568,0.211,0.4773,9,False,PLE-08,,,94.1,83.2,6.7,1.2
Scene_09,satellite,xfeat_mnn,L09_0019,18,93.27,89.78,93.29,4096,104,6,0.0577,0.644,10.0953,9,False,PLE-08,,,97.1,83.9,7.7,2.1
Scene_09,satellite,xfeat_mnn,L09_0020,19,93.36,89.93,93.43,4096,94,5,0.0532,0.055,1.1722,9,False,PLE-08,,,94.1,82.4,6.9,1.7
Scene_09,satellite,xfeat_mnn,L09_0021,20,93.06,89.94,93.38,4096,98,5,0.051,0.313,2.0428,9,False,PLE-08,,,89.0,76.9,6.6,2.1
Scene_09,satellite,xfeat_mnn,L09_0022,21,93.23,89.81,93.04,4096,86,7,0.0814,0.61,0.5955,9,False,PLE-08,,,91.2,81.5,5.4,1.3
Scene_09,satellite,xfeat_mnn,L09_0023,22,93.7,89.91,92.25,4096,91,5,0.0549,0.224,1.1037,9,False,PLE-08,,,91.2,79.7,6.9,1.5
Scene_09,satellite,xfeat_mnn,L09_0024,23,93.92,89.94,91.82,4096,109,11,0.1009,1.639,0.6915,9,False,PLE-08,,,97.2,86.5,5.4,2.0
Scene_09,satellite,xfeat_mnn,L09_0025,24,93.97,89.92,91.51,4096,83,8,0.0964,1.163,1.3956,9,False,PLE-08,,,93.5,81.1,8.1,1.3
Scene_09,satellite,xfeat_mnn,L09_0026,25,93.93,89.76,91.42,4096,82,8,0.0976,1.06,0.5427,9,False,PLE-08,,,88.9,79.0,5.3,1.6
Scene_09,satellite,xfeat_mnn,L09_0027,26,93.83,89.53,91.31,4096,91,6,0.0659,0.373,0.5052,9,False,PLE-08,,,90.7,80.3,5.4,1.9
Scene_09,satellite,xfeat_mnn,L09_0028,27,93.36,89.2,91.18,4096,89,7,0.0787,0.586,0.4847,9,False,PLE-08,,,90.4,78.8,6.2,2.2
Scene_09,satellite,xfeat_mnn,L09_0029,28,93.19,89.08,90.45,4096,66,9,0.1364,1.538,0.3562,9,False,PLE-08,,,96.3,85.7,6.3,1.0
Scene_09,satellite,xfeat_mnn,L09_0030,29,93.26,89.05,90.26,4096,70,8,0.1143,0.848,2.6213,9,False,PLE-08,,,89.3,77.4,7.4,1.2
Scene_09,satellite,xfeat_mnn,L09_0031,30,93.22,89.06,90.15,4096,53,5,0.0943,0.492,3.1499,9,False,PLE-08,,,89.4,78.6,6.1,1.0
Scene_09,satellite,xfeat_mnn,L09_0032,31,93.11,89.06,90.38,4096,52,5,0.0962,0.277,0.272,9,False,PLE-08,,,91.7,80.9,6.4,1.1
Scene_09,satellite,xfeat_mnn,L09_0033,32,93.08,89.12,90.19,4096,46,5,0.1087,0.278,19.6026,9,False,PLE-08,,,101.6,91.7,5.8,1.0
Scene_09,satellite,xfeat_mnn,L09_0034,33,93.2,89.0,90.01,4096,40,5,0.125,0.447,4.6458,9,False,PLE-08,,,99.2,88.7,6.2,1.0
Scene_09,satellite,xfeat_mnn,L09_0035,34,93.17,88.96,89.77,4096,47,5,0.1064,0.249,5.68,9,False,PLE-08,,,93.0,81.1,7.4,1.0
Scene_09,satellite,xfeat_mnn,L09_0036,35,93.24,89.05,89.72,4096,33,5,0.1515,0.829,0.3995,9,False,PLE-08,,,89.2,79.0,6.1,0.9
