scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,ripepp,L09_0001,0,63.88,89.44,81.62,2048,0,0,0.0,,,9,False,PLE-05,,,5193.8,4975.1,98.2,0
Scene_09,satellite,ripepp,L09_0002,1,70.66,89.41,82.04,2048,1,0,0.0,,,9,False,PLE-05,,,6052.5,5956.4,92.5,0
Scene_09,satellite,ripepp,L09_0003,2,78.25,89.4,82.44,2048,1,0,0.0,,,9,False,PLE-05,,,7158.7,7058.7,96.0,0
Scene_09,satellite,ripepp,L09_0004,3,85.34,89.4,82.7,2048,0,0,0.0,,,9,False,PLE-05,,,8658.7,8559.3,96.0,0
Scene_09,satellite,ripepp,L09_0005,4,91.23,89.42,83.0,2048,0,0,0.0,,,9,False,PLE-05,,,11279.5,11177.4,97.9,0
Scene_09,satellite,ripepp,L09_0006,5,93.91,89.43,83.24,2048,0,0,0.0,,,9,False,PLE-05,,,10050.0,9939.4,100.4,0
Scene_09,satellite,ripepp,L09_0007,6,93.52,87.17,143.04,2048,0,0,0.0,,,9,False,PLE-05,,,16332.5,16232.0,96.6,0
Scene_09,satellite,ripepp,L09_0008,7,92.33,86.78,144.67,2048,0,0,0.0,,,9,False,PLE-05,,,15677.7,15570.6,100.4,0
Scene_09,satellite,ripepp,L09_0009,8,92.58,86.7,146.03,2048,0,0,0.0,,,9,False,PLE-05,,,15812.0,15713.9,94.4,0
Scene_09,satellite,ripepp,L09_0010,9,92.94,86.86,147.48,2048,0,0,0.0,,,9,False,PLE-05,,,16174.4,16070.2,100.6,0
Scene_09,satellite,ripepp,L09_0011,10,92.89,87.26,148.38,2048,0,0,0.0,,,9,False,PLE-05,,,16094.0,15994.4,96.0,0
Scene_09,satellite,ripepp,L09_0012,11,93.11,87.99,148.84,2048,0,0,0.0,,,9,False,PLE-05,,,16276.0,16175.3,96.8,0
Scene_09,satellite,ripepp,L09_0013,12,93.37,89.37,105.79,2048,0,0,0.0,,,9,False,PLE-05,,,12947.7,12844.6,99.5,0
Scene_09,satellite,ripepp,L09_0014,13,92.56,89.78,93.72,2048,0,0,0.0,,,9,False,PLE-05,,,10503.4,10392.2,107.5,0
Scene_09,satellite,ripepp,L09_0015,14,93.57,89.73,93.19,2048,0,0,0.0,,,9,False,PLE-05,,,10848.3,10741.2,101.1,0
Scene_09,satellite,ripepp,L09_0016,15,93.74,89.85,93.35,2048,0,0,0.0,,,9,False,PLE-05,,,9569.8,9468.8,97.2,0
Scene_09,satellite,ripepp,L09_0017,16,93.66,89.88,93.38,2048,0,0,0.0,,,9,False,PLE-05,,,9627.2,9501.2,121.2,0
Scene_09,satellite,ripepp,L09_0018,17,93.23,89.83,93.36,2048,0,0,0.0,,,9,False,PLE-05,,,9616.4,9514.9,97.9,0
Scene_09,satellite,ripepp,L09_0019,18,93.27,89.78,93.29,2048,0,0,0.0,,,9,False,PLE-05,,,9391.3,9294.4,92.8,0
Scene_09,satellite,ripepp,L09_0020,19,93.36,89.93,93.43,2048,0,0,0.0,,,9,False,PLE-05,,,9800.1,9702.0,94.5,0
Scene_09,satellite,ripepp,L09_0021,20,93.06,89.94,93.38,2048,0,0,0.0,,,9,False,PLE-05,,,9681.3,9581.7,95.7,0
Scene_09,satellite,ripepp,L09_0022,21,93.23,89.81,93.04,2048,0,0,0.0,,,9,False,PLE-05,,,9641.8,9542.4,95.7,0
Scene_09,satellite,ripepp,L09_0023,22,93.7,89.91,92.25,2048,0,0,0.0,,,9,False,PLE-05,,,9163.5,9063.1,96.5,0
Scene_09,satellite,ripepp,L09_0024,23,93.92,89.94,91.82,2048,0,0,0.0,,,9,False,PLE-05,,,9271.0,9169.2,98.0,0
Scene_09,satellite,ripepp,L09_0025,24,93.97,89.92,91.51,2048,0,0,0.0,,,9,False,PLE-05,,,9146.2,9049.7,92.7,0
