phase,t_s,error_m,est_n,est_e,truth_n,truth_e
baseline,0.000,29.7728,-488.789,-104.718,-480.638,-133.353
baseline,0.001,28.1863,-488.449,-106.271,-480.638,-133.353
baseline,0.001,26.5994,-488.104,-107.823,-480.638,-133.353
baseline,0.002,25.1348,-487.782,-109.255,-480.638,-133.353
baseline,0.002,23.5485,-487.427,-110.805,-480.638,-133.353
baseline,0.089,1.4116,-481.057,-135.679,-480.329,-134.470
baseline,0.189,1.2897,-480.624,-137.206,-479.852,-136.172
baseline,0.289,1.2867,-480.219,-138.615,-479.454,-137.581
baseline,0.389,1.2836,-479.811,-140.022,-479.051,-138.988
baseline,0.489,1.3579,-479.313,-141.720,-478.593,-140.569
baseline,0.590,1.3546,-478.878,-143.183,-478.164,-142.032
baseline,0.696,1.3923,-478.421,-144.704,-477.731,-143.494
baseline,0.796,1.3479,-477.995,-146.106,-477.294,-144.954
baseline,0.898,1.3452,-477.564,-147.507,-476.870,-146.355
baseline,0.999,1.3023,-477.130,-148.907,-476.424,-147.812
baseline,1.108,1.2241,-476.655,-150.421,-475.919,-149.443
baseline,1.195,1.2966,-476.250,-151.702,-475.555,-150.607
baseline,1.295,1.2187,-475.803,-153.098,-475.078,-152.118
baseline,1.395,1.2170,-475.352,-154.494,-474.633,-153.512
baseline,1.496,1.1179,-474.858,-156.007,-474.090,-155.195
baseline,1.596,1.1174,-474.397,-157.405,-473.636,-156.587
baseline,1.696,1.1483,-473.931,-158.803,-473.197,-157.920
baseline,1.797,1.2954,-473.361,-160.491,-472.715,-159.368
baseline,1.898,1.2188,-472.885,-161.887,-472.209,-160.872
baseline,1.995,1.2988,-472.363,-163.399,-471.738,-162.260
baseline,2.095,1.3419,-471.878,-164.791,-471.283,-163.588
baseline,2.196,1.3010,-471.389,-166.182,-470.784,-165.030
baseline,2.296,1.1842,-470.856,-167.687,-470.199,-166.701
baseline,2.395,1.1852,-470.359,-169.075,-469.711,-168.083
baseline,2.495,1.1500,-469.859,-170.460,-469.198,-169.519
baseline,2.599,1.1508,-469.356,-171.843,-468.702,-170.897
baseline,2.703,1.2270,-468.766,-173.454,-468.160,-172.387
baseline,2.805,1.3108,-468.213,-174.948,-467.655,-173.761
baseline,2.906,1.3114,-467.698,-176.324,-467.146,-175.134
baseline,3.003,1.2279,-467.179,-177.696,-466.591,-176.618
baseline,3.106,1.2665,-466.612,-179.180,-466.053,-178.044
baseline,3.206,1.2230,-466.085,-180.548,-465.510,-179.468
baseline,3.304,1.3034,-465.509,-182.027,-464.984,-180.834
baseline,3.402,1.2579,-464.972,-183.391,-464.433,-182.254
baseline,3.503,1.1738,-464.386,-184.866,-463.810,-183.844
baseline,3.603,1.1325,-463.841,-186.226,-463.249,-185.261
baseline,3.703,1.1657,-463.246,-187.697,-462.684,-186.676
baseline,3.802,1.1242,-462.693,-189.054,-462.115,-188.090
baseline,3.903,1.1972,-462.090,-190.521,-461.564,-189.445
baseline,4.003,1.1534,-461.528,-191.874,-460.986,-190.856
baseline,4.103,1.2303,-460.915,-193.337,-460.427,-192.208
baseline,4.203,1.1837,-460.346,-194.685,-459.841,-193.614
baseline,4.304,1.2626,-459.724,-196.143,-459.274,-194.963
baseline,4.402,1.1323,-459.194,-197.374,-458.680,-196.365
baseline,4.503,1.2086,-458.564,-198.828,-458.105,-197.710
baseline,4.602,1.0476,-457.954,-200.225,-457.406,-199.332
baseline,4.702,1.0437,-457.365,-201.564,-456.823,-200.672
baseline,4.803,1.1549,-456.698,-203.070,-456.236,-202.011
baseline,4.902,1.1937,-456.049,-204.518,-455.620,-203.404
baseline,5.004,1.1903,-455.447,-205.852,-455.026,-204.739
baseline,5.103,1.2302,-454.789,-207.295,-454.402,-206.128
baseline,5.203,1.2265,-454.179,-208.626,-453.799,-207.459
baseline,5.303,1.0941,-453.513,-210.065,-453.066,-209.066
baseline,5.403,1.1310,-452.894,-211.391,-452.480,-210.338
baseline,5.508,1.0855,-452.218,-212.827,-451.788,-211.830
baseline,5.615,1.1669,-451.590,-214.150,-451.221,-213.043
baseline,5.715,1.0788,-450.907,-215.583,-450.495,-214.586
baseline,5.814,1.1186,-450.272,-216.904,-449.894,-215.851
baseline,5.913,1.1598,-449.581,-218.332,-449.237,-217.225
baseline,6.012,1.1579,-448.939,-219.650,-448.603,-218.542
baseline,6.112,1.1560,-448.295,-220.965,-447.965,-219.857
baseline,6.213,1.0261,-447.592,-222.388,-447.188,-221.444
baseline,6.313,0.9844,-446.938,-223.699,-446.515,-222.810
baseline,6.414,1.0194,-446.281,-225.007,-445.892,-224.065
baseline,6.518,1.0992,-445.566,-226.422,-445.238,-225.373
baseline,6.627,1.0526,-444.901,-227.727,-444.552,-226.734
baseline,6.764,0.8972,-444.233,-229.029,-443.780,-228.255
baseline,6.864,0.8619,-443.562,-230.330,-443.086,-229.611
baseline,6.964,1.0843,-442.718,-231.953,-442.417,-230.911
baseline,7.064,1.0799,-442.038,-233.248,-441.743,-232.209
baseline,7.164,1.1484,-441.308,-234.628,-441.066,-233.505
baseline,7.264,1.1336,-440.627,-235.906,-440.385,-234.799
baseline,7.367,0.9892,-439.883,-237.294,-439.557,-236.360
baseline,7.464,0.9803,-439.191,-238.574,-438.868,-237.649
baseline,7.564,1.0583,-438.436,-239.961,-438.175,-238.936
baseline,7.671,1.0087,-437.734,-241.241,-437.450,-240.274
baseline,7.771,1.0475,-436.969,-242.627,-436.721,-241.610
baseline,7.872,1.0887,-436.258,-243.904,-436.046,-242.837
baseline,7.971,1.0383,-435.542,-245.180,-435.309,-244.168
baseline,8.071,0.7703,-434.882,-246.347,-434.449,-245.710
baseline,8.171,0.7925,-434.097,-247.725,-433.704,-247.037
baseline,8.271,0.7562,-433.368,-248.994,-432.954,-248.362
baseline,8.373,0.9287,-432.452,-250.578,-432.200,-249.684
