phase,t_s,error_m,est_n,est_e,truth_n,truth_e
baseline,0.000,1.4854,-179.358,56.672,-179.283,58.155
baseline,0.100,1.6627,-178.963,55.137,-178.940,56.800
baseline,0.200,1.6055,-178.626,53.840,-178.594,55.445
baseline,0.300,1.5488,-178.252,52.425,-178.212,53.974
baseline,0.400,1.5498,-177.795,50.720,-177.763,52.269
baseline,0.501,1.6096,-177.412,49.309,-177.403,50.918
baseline,0.600,1.7286,-176.992,47.782,-177.022,49.510
baseline,0.700,1.6707,-176.600,46.374,-176.621,48.045
baseline,0.800,1.7319,-176.169,44.850,-176.214,46.581
baseline,0.900,1.6753,-175.768,43.444,-175.803,45.118
baseline,1.010,1.6192,-175.328,41.921,-175.354,43.540
baseline,1.107,1.5635,-174.918,40.517,-174.933,42.081
baseline,1.207,1.6245,-174.468,38.998,-174.507,40.622
baseline,1.307,1.6263,-174.049,37.597,-174.093,39.223
baseline,1.407,1.7456,-173.590,36.082,-173.675,37.825
baseline,1.507,1.6869,-173.162,34.685,-173.235,36.371
baseline,1.607,1.8045,-172.693,33.175,-172.808,34.975
baseline,1.709,1.5098,-172.256,31.782,-172.286,33.291
baseline,1.807,1.4509,-171.814,30.390,-171.831,31.841
baseline,1.908,1.5680,-171.330,28.883,-171.390,30.450
baseline,2.012,1.5098,-170.878,27.493,-170.925,29.002
baseline,2.108,1.6277,-170.382,25.989,-170.474,27.614
baseline,2.207,1.5700,-169.920,24.601,-170.000,26.169
baseline,2.307,1.6297,-169.414,23.099,-169.522,24.725
baseline,2.407,1.5724,-168.942,21.713,-169.038,23.283
baseline,2.508,1.5744,-168.426,20.213,-168.531,21.784
baseline,2.607,1.6355,-167.946,18.830,-168.078,20.460
baseline,2.707,1.6976,-167.422,17.332,-167.581,19.022
baseline,2.807,1.6997,-166.934,15.951,-167.099,17.643
baseline,2.907,1.4659,-166.402,14.458,-166.492,15.921
baseline,3.007,1.5251,-165.906,13.082,-166.022,14.603
baseline,3.107,1.7010,-165.366,11.595,-165.548,13.286
baseline,3.207,1.6405,-164.863,10.224,-165.029,11.856
baseline,3.307,1.6972,-164.313,8.741,-164.505,10.428
baseline,3.408,1.6358,-163.803,7.375,-163.976,9.001
baseline,3.508,1.3992,-163.287,6.009,-163.379,7.405
baseline,3.620,1.6311,-162.723,4.531,-162.906,6.152
baseline,3.720,1.5702,-162.198,3.169,-162.364,4.730
baseline,3.819,1.6274,-161.622,1.694,-161.818,3.309
baseline,3.920,1.5665,-161.087,0.334,-161.267,1.890
baseline,4.022,1.3889,-160.501,-1.138,-160.623,0.246
baseline,4.120,1.3870,-159.955,-2.495,-160.086,-1.114
baseline,4.219,1.5018,-159.359,-3.962,-159.544,-2.472
baseline,4.327,1.5586,-158.805,-5.315,-159.021,-3.772
baseline,4.428,1.6145,-158.202,-6.778,-158.449,-5.183
baseline,4.527,1.3165,-157.641,-8.126,-157.781,-6.817
baseline,4.626,1.6666,-157.029,-9.585,-157.317,-7.943
baseline,4.727,1.3677,-156.461,-10.929,-156.639,-9.573
baseline,4.831,1.2476,-155.888,-12.272,-156.027,-11.032
baseline,4.926,1.4790,-155.193,-13.892,-155.434,-12.433
baseline,5.027,1.5345,-154.565,-15.342,-154.838,-13.832
baseline,5.126,1.5306,-153.982,-16.678,-154.261,-15.173
baseline,5.226,1.5270,-153.395,-18.013,-153.681,-16.513
baseline,5.326,1.6419,-152.756,-19.457,-153.097,-17.851
baseline,5.427,1.5790,-152.161,-20.788,-152.485,-19.243
baseline,5.529,1.6952,-151.512,-22.229,-151.894,-20.577
baseline,5.632,1.3949,-150.960,-23.446,-151.225,-22.077
baseline,5.732,1.5105,-150.303,-24.883,-150.626,-23.407
baseline,5.832,1.4483,-149.695,-26.208,-149.998,-24.792
baseline,5.932,1.5041,-149.032,-27.641,-149.366,-26.174
baseline,6.033,1.4413,-148.416,-28.962,-148.730,-27.555
baseline,6.132,1.4376,-147.797,-30.280,-148.117,-28.879
baseline,6.232,1.4934,-147.120,-31.706,-147.473,-30.255
baseline,6.332,1.6692,-146.413,-33.185,-146.852,-31.575
baseline,6.432,1.3691,-145.779,-34.499,-146.096,-33.167
baseline,6.532,1.5471,-145.088,-35.921,-145.493,-34.428
baseline,6.649,1.3674,-144.447,-37.232,-144.781,-35.906
baseline,6.749,1.2482,-143.857,-38.433,-144.145,-37.219
baseline,6.849,1.4863,-143.157,-39.851,-143.558,-38.420
baseline,6.949,1.3661,-142.452,-41.266,-142.806,-39.946
baseline,7.049,1.5446,-141.717,-42.733,-142.158,-41.253
baseline,7.148,1.5443,-141.059,-44.036,-141.507,-42.558
baseline,7.249,1.6641,-140.341,-45.445,-140.851,-43.861
baseline,7.349,1.3644,-139.674,-46.745,-140.054,-45.434
baseline,7.450,1.4245,-138.947,-48.151,-139.362,-46.788
baseline,7.553,1.4845,-138.272,-49.447,-138.722,-48.032
baseline,7.653,1.5440,-137.536,-50.848,-138.022,-49.382
baseline,7.753,1.4839,-136.853,-52.140,-137.318,-50.731
baseline,7.853,1.5432,-136.167,-53.430,-136.667,-51.970
baseline,7.953,1.6025,-135.419,-54.825,-135.955,-53.314
baseline,8.054,1.3023,-134.725,-56.111,-135.124,-54.871
baseline,8.154,1.4229,-133.968,-57.503,-134.432,-56.158
baseline,8.254,1.4228,-133.264,-58.785,-133.737,-57.443
baseline,8.353,1.4834,-132.498,-60.172,-133.008,-58.779
baseline,8.453,1.4851,-131.787,-61.452,-132.305,-60.060
baseline,8.553,1.5474,-131.013,-62.836,-131.568,-61.392
baseline,8.653,1.5498,-130.294,-64.112,-130.857,-62.668
baseline,8.753,1.3711,-129.511,-65.491,-129.993,-64.208
baseline,8.853,1.3725,-128.784,-66.762,-129.274,-65.480
baseline,8.953,1.4949,-127.993,-68.137,-128.551,-66.750
baseline,9.053,1.4356,-127.258,-69.402,-127.793,-68.070
baseline,9.153,1.5569,-126.457,-70.770,-127.062,-69.336
baseline,9.253,1.3153,-125.714,-72.030,-126.204,-70.810
baseline,9.354,1.3742,-124.968,-73.287,-125.496,-72.018
baseline,9.453,1.4329,-124.156,-74.646,-124.722,-73.329
baseline,9.553,1.3704,-123.403,-75.897,-123.944,-74.638
baseline,9.653,1.3679,-122.646,-77.146,-123.194,-75.892
baseline,9.753,1.4261,-121.823,-78.496,-122.408,-77.196
baseline,9.853,1.1832,-121.059,-79.741,-121.523,-78.653
baseline,9.953,1.3026,-120.227,-81.088,-120.761,-79.900
baseline,10.057,1.3622,-119.456,-82.329,-120.027,-81.092
baseline,10.159,1.2417,-118.616,-83.672,-119.128,-82.541
baseline,10.261,1.3026,-117.837,-84.910,-118.387,-83.729
baseline,10.358,1.4245,-116.988,-86.248,-117.610,-84.966
baseline,10.458,1.3645,-116.199,-87.479,-116.796,-86.252
baseline,10.560,1.4251,-115.341,-88.810,-115.978,-87.535
baseline,10.660,1.1228,-114.544,-90.035,-115.025,-89.021
baseline,10.758,1.1227,-113.743,-91.258,-114.232,-90.247
baseline,10.863,1.2439,-112.872,-92.580,-113.436,-91.471
baseline,10.963,1.1842,-112.065,-93.799,-112.602,-92.744
baseline,11.069,1.1242,-111.253,-95.015,-111.765,-94.013
baseline,11.168,1.1853,-110.371,-96.329,-110.924,-95.281
baseline,11.268,1.1259,-109.552,-97.540,-110.079,-96.545
baseline,11.368,1.0663,-108.730,-98.749,-109.230,-97.807
baseline,11.468,1.1878,-107.836,-100.054,-108.412,-99.015
baseline,11.568,1.1885,-107.007,-101.257,-107.590,-100.222
baseline,11.673,1.0685,-106.174,-102.458,-106.696,-101.525
baseline,11.773,1.1315,-105.268,-103.757,-105.833,-102.776
baseline,11.875,1.1343,-104.427,-104.954,-105.000,-103.975
baseline,11.976,0.9563,-103.513,-106.249,-103.990,-105.420
baseline,12.073,0.9596,-102.667,-107.442,-103.150,-106.613
baseline,12.173,1.2054,-101.676,-108.830,-102.306,-107.803
baseline,12.273,1.3921,-100.750,-110.118,-101.495,-108.942
baseline,12.373,1.3356,-99.891,-111.303,-100.610,-110.177
baseline,12.473,1.4612,-98.957,-112.584,-99.756,-111.360
baseline,12.573,1.4046,-98.091,-113.763,-98.863,-112.590
baseline,12.673,1.2265,-97.149,-115.037,-97.823,-114.013
baseline,12.774,1.2303,-96.276,-116.211,-96.958,-115.187
baseline,12.873,1.1728,-95.400,-117.381,-96.054,-116.408
baseline,12.973,1.2969,-94.448,-118.646,-95.183,-117.577
baseline,13.073,1.2990,-93.566,-119.810,-94.308,-118.744
baseline,13.173,1.3635,-92.604,-121.068,-93.393,-119.957
baseline,13.273,1.3063,-91.712,-122.227,-92.475,-121.166
baseline,13.373,1.1280,-90.741,-123.479,-91.404,-122.566
baseline,13.478,1.1928,-89.842,-124.633,-90.552,-123.674
baseline,13.573,1.1965,-88.940,-125.783,-89.660,-124.828
baseline,13.672,1.3831,-87.958,-127.027,-88.801,-125.930
baseline,13.775,1.2656,-86.973,-128.267,-87.752,-127.270
baseline,13.873,1.2078,-86.060,-129.408,-86.812,-128.463
baseline,13.974,1.2106,-85.145,-130.547,-85.906,-129.606
baseline,14.073,1.1523,-84.228,-131.684,-84.958,-130.793
baseline,14.173,1.3377,-83.230,-132.914,-84.084,-131.884
baseline,14.273,1.2803,-82.306,-134.046,-83.130,-133.066
baseline,14.373,1.1033,-81.300,-135.271,-82.019,-134.434
baseline,14.473,1.0479,-80.368,-136.399,-81.057,-135.610
baseline,14.573,1.1755,-79.354,-137.618,-80.131,-136.736
baseline,14.673,1.1812,-78.414,-138.740,-79.202,-137.860
