phase,t_s,t_unix,error_m,est_n,est_e,truth_n,truth_e
baseline,0.000,1789657468.510,0.0965,327.341,377.489,327.409,377.558
baseline,0.071,1789657468.580,0.2197,326.234,378.443,326.448,378.394
baseline,0.171,1789657468.680,0.2828,325.032,379.474,325.301,379.386
baseline,0.272,1789657468.781,0.2900,323.920,380.422,324.197,380.335
baseline,0.370,1789657468.880,0.3550,322.712,381.445,323.044,381.321
baseline,0.470,1789657468.980,0.2531,321.685,382.309,321.934,382.263
baseline,0.577,1789657469.086,0.1708,320.468,383.327,320.636,383.359
baseline,0.677,1789657469.187,0.4433,319.154,384.417,319.566,384.255
baseline,0.778,1789657469.287,0.5717,317.928,385.426,318.448,385.188
baseline,0.877,1789657469.386,0.3364,316.810,386.340,317.139,386.271
baseline,0.978,1789657469.487,0.4462,315.590,387.333,316.015,387.196
baseline,1.077,1789657469.587,0.3936,314.458,388.250,314.841,388.156
baseline,1.177,1789657469.686,0.4540,313.228,389.240,313.664,389.113
baseline,1.277,1789657469.786,0.4596,312.088,390.152,312.531,390.028
baseline,1.377,1789657469.886,0.5226,310.851,391.136,311.349,390.977
baseline,1.478,1789657469.987,0.4729,309.706,392.041,310.163,391.922
baseline,1.577,1789657470.087,0.5929,308.462,393.019,309.023,392.827
baseline,1.677,1789657470.187,0.3797,307.311,393.917,307.689,393.877
baseline,1.777,1789657470.286,0.4400,306.062,394.886,306.495,394.811
baseline,1.877,1789657470.386,0.3958,304.904,395.777,305.299,395.742
baseline,1.977,1789657470.486,0.4569,303.648,396.737,304.099,396.668
baseline,2.077,1789657470.586,0.4144,302.484,397.621,302.897,397.591
baseline,2.177,1789657470.686,0.4766,301.219,398.573,301.692,398.511
baseline,2.278,1789657470.787,0.5948,299.952,399.522,300.532,399.390
baseline,2.377,1789657470.887,0.6037,298.779,400.394,299.369,400.266
baseline,2.477,1789657470.986,0.6117,297.605,401.263,298.204,401.139
baseline,2.577,1789657471.087,0.5654,296.429,402.128,296.988,402.045
baseline,2.678,1789657471.187,0.6833,295.151,403.061,295.818,402.911
baseline,2.778,1789657471.287,0.4324,293.969,403.918,294.400,403.953
baseline,2.877,1789657471.386,0.5394,292.685,404.844,293.224,404.812
baseline,2.977,1789657471.486,0.4980,291.498,405.694,291.996,405.703
baseline,3.077,1789657471.587,0.6612,290.209,406.612,290.864,406.520
baseline,3.177,1789657471.686,0.6686,289.017,407.456,289.680,407.368
baseline,3.277,1789657471.787,0.5224,287.724,408.366,288.246,408.389
baseline,3.377,1789657471.886,0.4830,286.528,409.204,287.007,409.266
baseline,3.477,1789657471.986,0.5860,285.230,410.108,285.816,410.104
baseline,3.577,1789657472.086,0.5938,284.028,410.938,284.621,410.938
baseline,3.677,1789657472.186,0.6538,282.722,411.834,283.375,411.804
baseline,3.777,1789657472.287,0.6115,281.514,412.657,282.126,412.666
baseline,3.877,1789657472.386,0.7220,280.204,413.544,280.924,413.489
baseline,3.977,1789657472.487,0.7291,278.993,414.360,279.720,414.309
baseline,4.079,1789657472.589,0.6338,277.680,415.238,278.313,415.262
baseline,4.177,1789657472.686,0.6393,276.465,416.046,277.104,416.075
baseline,4.281,1789657472.791,0.6944,275.147,416.917,275.842,416.919
baseline,4.378,1789657472.887,0.7505,273.928,417.717,274.678,417.691
baseline,4.477,1789657472.987,0.5647,272.603,418.581,273.156,418.695
baseline,4.577,1789657473.087,0.5704,271.378,419.375,271.936,419.494
baseline,4.677,1789657473.187,0.6204,270.049,420.231,270.663,420.323
baseline,4.778,1789657473.287,0.5820,268.819,421.018,269.387,421.148
baseline,4.878,1789657473.388,0.6318,267.484,421.867,268.108,421.969
baseline,4.978,1789657473.487,0.5942,266.249,422.647,266.826,422.787
baseline,5.077,1789657473.586,0.6011,265.010,423.425,265.594,423.568
baseline,5.177,1789657473.686,0.6991,263.665,424.263,264.359,424.345
baseline,5.278,1789657473.787,0.6615,262.419,425.033,263.070,425.152
baseline,5.377,1789657473.887,0.7652,261.067,425.864,261.830,425.923
baseline,5.477,1789657473.986,0.7736,259.817,426.627,260.588,426.690
baseline,5.577,1789657474.087,0.6438,258.461,427.449,259.083,427.612
baseline,5.677,1789657474.186,0.6092,257.208,428.204,257.784,428.402
baseline,5.777,1789657474.286,0.6999,255.849,429.017,256.535,429.157
baseline,5.877,1789657474.386,0.6630,254.592,429.763,255.231,429.939
baseline,5.978,1789657474.487,0.8077,253.226,430.568,254.029,430.656
baseline,6.077,1789657474.586,0.7681,251.963,431.306,252.721,431.430
baseline,6.177,1789657474.686,0.6880,250.592,432.102,251.253,432.293
baseline,6.277,1789657474.787,0.6960,249.325,432.832,249.992,433.029
baseline,6.377,1789657474.886,0.8400,247.950,433.618,248.782,433.730
baseline,6.477,1789657474.987,0.8472,246.678,434.340,247.517,434.459
baseline,6.577,1789657475.086,0.7201,245.299,435.118,245.986,435.334
baseline,6.678,1789657475.187,0.7269,244.025,435.833,244.717,436.054
baseline,6.777,1789657475.286,0.8214,242.643,436.602,243.447,436.770
baseline,6.877,1789657475.386,0.8278,241.365,437.307,242.174,437.482
baseline,6.977,1789657475.486,0.9275,239.980,438.068,240.900,438.190
baseline,7.077,1789657475.587,0.9812,238.594,438.824,239.570,438.924
baseline,7.177,1789657475.686,0.9368,237.312,439.517,238.238,439.654
baseline,7.277,1789657475.786,0.9914,235.920,440.265,236.905,440.380
baseline,7.377,1789657475.887,0.7304,234.633,440.952,235.302,441.246
baseline,7.477,1789657475.986,1.0039,233.235,441.692,234.231,441.820
baseline,7.577,1789657476.086,0.9620,231.943,442.371,232.891,442.534
baseline,7.677,1789657476.187,0.8768,230.540,443.103,231.387,443.329
baseline,7.777,1789657476.286,0.8410,229.242,443.777,230.042,444.034
baseline,7.877,1789657476.387,0.9394,227.833,444.502,228.749,444.708
baseline,7.977,1789657476.487,0.9490,226.528,445.168,227.454,445.378
