t_unix,accepted,inliers,matches,sigma_m,reproj_err_px,fix_n,fix_e,truth_n,truth_e,fix_error_m
1789657469.160,1,64,374,8.0,1.557,324.018,385.559,319.566,384.255,4.638
1789657469.263,1,62,305,8.0,1.512,322.338,386.378,318.448,385.188,4.068
1789657469.532,1,58,278,8.0,1.433,319.276,389.711,316.015,387.196,4.118
1789657469.919,1,63,281,8.0,1.481,314.312,393.174,311.349,390.977,3.689
1789657470.099,1,52,269,8.0,1.247,312.092,394.571,309.023,392.827,3.531
1789657475.376,1,19,232,8.0,1.681,245.764,439.970,242.174,437.482,4.368
1789657475.525,1,21,169,8.0,1.881,243.971,441.627,240.900,438.190,4.609
1789657476.034,1,23,184,8.0,1.703,237.365,444.849,234.231,441.820,4.359
1789657476.078,1,19,195,8.0,1.476,236.843,445.240,232.891,442.534,4.790
1789657476.122,1,17,202,8.0,1.33,236.221,445.385,232.891,442.534,4.383
1789657476.166,1,20,199,8.0,1.573,235.672,445.857,231.387,443.329,4.975
1789657476.211,1,19,201,8.0,1.516,235.092,446.022,231.387,443.329,4.580
1789657476.255,1,21,199,8.0,1.631,233.577,446.390,230.042,444.034,4.248
1789657476.298,1,19,196,8.0,1.608,233.419,446.663,230.042,444.034,4.279
1789657476.342,1,21,195,8.0,1.509,232.898,446.588,228.749,444.708,4.555
1789657476.389,1,19,188,8.0,1.514,232.458,447.432,228.749,444.708,4.602
1789657476.431,1,17,200,8.0,1.412,232.165,447.629,228.749,444.708,4.495
1789657476.500,1,19,210,8.0,1.434,231.602,447.755,227.454,445.378,4.781
1789657476.553,1,18,207,8.0,1.354,229.929,448.053,225.940,446.155,4.418
1789657476.594,1,22,203,8.0,1.742,229.451,448.567,225.940,446.155,4.260
1789657476.638,1,23,216,8.0,1.638,229.076,449.389,224.586,446.844,5.162
1789657476.686,1,22,217,8.0,1.784,228.358,449.613,224.586,446.844,4.679
1789657476.820,1,22,209,8.0,1.724,227.933,449.614,223.230,447.530,5.144
1789657476.862,1,20,215,8.0,1.765,225.908,450.497,221.926,448.184,4.605
1789657476.954,1,17,228,8.0,1.538,224.883,451.573,220.621,448.834,5.066
1789657476.995,1,15,224,8.0,1.337,224.492,451.446,220.621,448.834,4.670
1789657477.036,1,14,208,8.0,1.105,224.666,450.510,220.621,448.834,4.378
1789657477.209,1,16,225,8.0,1.968,221.538,453.127,217.896,450.177,4.688
1789657477.253,1,16,241,8.0,1.867,220.510,453.681,216.585,450.815,4.860
1789657477.298,1,16,223,8.0,1.39,219.729,453.447,216.585,450.815,4.101
1789657477.343,1,16,224,8.0,1.769,219.141,454.315,215.217,451.477,4.843
1789657477.389,1,19,229,8.0,1.69,218.095,453.853,215.217,451.477,3.732
1789657477.578,1,17,214,8.0,1.566,215.223,455.261,212.311,452.865,3.771
1789657478.048,1,15,220,8.0,1.367,209.108,459.330,205.532,456.019,4.874
1789657478.096,1,12,206,8.0,1.656,208.138,460.075,205.532,456.019,4.821
1789657478.252,1,13,219,8.0,1.479,206.725,460.407,202.762,457.272,5.053
1789657478.335,1,12,220,8.0,1.33,205.468,461.186,202.762,457.272,4.758
1789657478.382,1,23,226,8.0,1.67,204.055,460.360,201.485,457.844,3.597
1789657478.469,1,14,237,8.0,1.512,203.142,462.139,199.872,458.559,4.848
1789657478.555,1,14,230,8.0,1.642,201.547,462.633,198.536,459.148,4.606
1789657478.598,1,23,234,8.0,1.714,200.721,461.928,198.536,459.148,3.536
1789657478.642,1,21,242,8.0,1.834,200.653,462.961,197.197,459.732,4.729
1789657478.687,1,27,239,8.0,1.683,199.614,462.610,197.197,459.732,3.759
1789657478.778,1,14,259,8.0,1.568,198.770,463.260,195.856,460.313,4.144
1789657478.828,1,26,237,8.0,1.768,198.217,463.173,195.856,460.313,3.708
1789657478.877,1,23,244,8.0,1.619,197.231,463.446,194.514,460.890,3.731
1789657478.919,1,26,239,8.0,1.729,196.097,463.780,194.514,460.890,3.295
1789657478.967,1,27,236,8.0,1.683,195.900,464.270,193.115,461.487,3.938
1789657479.016,1,10,250,8.0,1.359,195.640,465.035,193.115,461.487,4.355
1789657479.069,1,25,250,8.0,1.484,194.079,464.630,191.432,462.197,3.595
1789657479.116,1,16,235,8.0,1.359,194.830,465.840,191.432,462.197,4.981
1789657479.400,1,28,251,8.0,1.39,189.342,466.568,187.273,463.924,3.358
1789657479.479,1,21,252,8.0,1.296,189.149,467.427,185.921,464.475,4.374
1789657479.561,1,14,248,8.0,1.634,186.891,467.365,184.624,465.000,3.276
1789657479.605,1,15,243,8.0,1.657,186.480,468.051,184.624,465.000,3.571
1789657479.651,1,11,234,8.0,1.519,185.995,468.606,183.043,465.634,4.188
1789657479.692,1,37,249,8.0,1.763,185.315,468.293,183.043,465.634,3.497
1789657479.818,1,11,259,8.0,1.305,183.134,469.436,181.686,466.173,3.570
1789657479.863,1,36,262,8.0,1.48,182.994,469.271,180.271,466.730,3.724
1789657479.909,1,36,267,8.0,1.63,181.972,469.701,180.271,466.730,3.423
1789657479.956,1,25,277,8.0,1.282,181.392,469.847,178.911,467.261,3.583
1789657480.003,1,42,274,8.0,1.541,181.279,470.305,178.911,467.261,3.857
1789657480.047,1,29,272,8.0,1.476,180.526,470.843,177.550,467.787,4.265
1789657480.094,1,24,268,8.0,1.411,180.481,470.683,177.550,467.787,4.121
1789657480.139,1,33,263,8.0,1.705,178.521,470.929,176.187,468.309,3.509
1789657480.176,1,33,265,8.0,1.717,178.035,471.169,176.187,468.309,3.404
1789657480.216,1,28,268,8.0,1.499,178.928,471.038,176.187,468.309,3.867
1789657480.255,1,29,278,8.0,1.433,178.303,471.423,174.538,468.935,4.513
