scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,xfeat_mnn,L09_0001,0,63.88,89.44,81.62,4096,713,21,0.0295,1.844,0.6688,9,False,PLE-08,,,759.7,363.1,257.7,26.4
Scene_09,satellite,xfeat_mnn,L09_0002,1,70.66,89.41,82.04,4096,699,22,0.0315,1.779,2.1366,9,False,PLE-08,,,635.8,375.8,226.7,22.1
Scene_09,satellite,xfeat_mnn,L09_0003,2,78.25,89.4,82.44,4096,712,32,0.0449,1.917,1.2127,9,False,PLE-08,,,755.0,500.4,217.1,25.3
Scene_09,satellite,xfeat_mnn,L09_0004,3,85.34,89.4,82.7,4096,806,32,0.0397,1.767,0.7684,9,True,,2.9835,8.0,800.8,522.4,237.3,25.1
Scene_09,satellite,xfeat_mnn,L09_0005,4,91.23,89.42,83.0,4096,786,34,0.0433,2.112,1.8548,9,False,PLE-08,,,869.8,613.4,218.4,23.9
Scene_09,satellite,xfeat_mnn,L09_0006,5,93.91,89.43,83.24,4096,776,34,0.0438,1.691,0.9495,9,True,,3.0274,8.0,952.5,689.9,217.1,25.9
Scene_09,satellite,xfeat_mnn,L09_0007,6,93.52,87.17,143.04,4096,651,34,0.0522,1.87,1.0581,9,True,,3.6339,8.0,1120.4,871.6,212.6,21.0
Scene_09,satellite,xfeat_mnn,L09_0008,7,92.33,86.78,144.67,4096,648,24,0.037,1.958,0.771,9,True,,3.8244,8.0,1143.4,870.8,220.1,17.2
Scene_09,satellite,xfeat_mnn,L09_0009,8,92.58,86.7,146.03,4096,600,15,0.025,1.146,1.3828,9,False,PLE-08,,,1107.5,834.2,238.3,19.4
Scene_09,satellite,xfeat_mnn,L09_0010,9,92.94,86.86,147.48,4096,648,16,0.0247,1.829,2.1682,9,False,PLE-08,,,1191.1,904.2,246.5,21.1
Scene_09,satellite,xfeat_mnn,L09_0011,10,92.89,87.26,148.38,4096,638,15,0.0235,1.576,0.3411,9,False,PLE-08,,,1199.6,844.6,319.1,20.2
Scene_09,satellite,xfeat_mnn,L09_0012,11,93.11,87.99,148.84,4096,607,25,0.0412,1.672,0.556,9,False,PLE-08,,,1204.2,921.3,245.2,21.3
Scene_09,satellite,xfeat_mnn,L09_0013,12,93.37,89.37,105.79,4096,689,18,0.0261,1.542,0.7139,9,True,,2.4499,8.0,1004.5,711.2,254.3,24.6
Scene_09,satellite,xfeat_mnn,L09_0014,13,92.56,89.78,93.72,4096,726,7,0.0096,0.632,0.6685,9,False,PLE-08,,,817.7,551.0,229.0,23.7
Scene_09,satellite,xfeat_mnn,L09_0015,14,93.57,89.73,93.19,4096,730,13,0.0178,1.216,0.7175,9,True,,2.7792,8.0,804.2,524.5,242.3,22.7
Scene_09,satellite,xfeat_mnn,L09_0016,15,93.74,89.85,93.35,4096,658,7,0.0106,1.076,1.1514,9,False,PLE-08,,,784.7,517.3,232.3,21.4
Scene_09,satellite,xfeat_mnn,L09_0017,16,93.66,89.88,93.38,4096,663,11,0.0166,1.348,1.1614,9,True,,1.6071,8.0,799.0,518.3,249.5,17.2
Scene_09,satellite,xfeat_mnn,L09_0018,17,93.23,89.83,93.36,4096,726,7,0.0096,0.805,0.6933,9,True,,2.452,8.0,782.1,508.6,242.4,17.2
Scene_09,satellite,xfeat_mnn,L09_0019,18,93.27,89.78,93.29,4096,790,15,0.019,1.089,0.4488,9,False,PLE-08,,,855.2,569.4,249.1,23.2
Scene_09,satellite,xfeat_mnn,L09_0020,19,93.36,89.93,93.43,4096,836,9,0.0108,0.908,23.2492,9,False,PLE-08,,,884.4,558.0,288.3,24.6
Scene_09,satellite,xfeat_mnn,L09_0021,20,93.06,89.94,93.38,4096,801,9,0.0112,0.752,0.4736,9,False,PLE-08,,,841.5,541.7,254.0,25.9
Scene_09,satellite,xfeat_mnn,L09_0022,21,93.23,89.81,93.04,4096,693,7,0.0101,0.587,0.4337,9,False,PLE-08,,,822.9,553.0,223.1,24.7
Scene_09,satellite,xfeat_mnn,L09_0023,22,93.7,89.91,92.25,4096,644,10,0.0155,1.799,0.5711,9,False,PLE-08,,,772.2,508.7,228.7,21.2
Scene_09,satellite,xfeat_mnn,L09_0024,23,93.92,89.94,91.82,4096,714,7,0.0098,0.732,0.7251,9,True,,4.958,8.0,772.3,473.0,264.2,20.8
Scene_09,satellite,xfeat_mnn,L09_0025,24,93.97,89.92,91.51,4096,674,9,0.0134,1.513,0.9582,9,False,PLE-08,,,833.0,536.3,241.6,25.6
Scene_09,satellite,xfeat_mnn,L09_0026,25,93.93,89.76,91.42,4096,706,15,0.0212,1.762,2.4501,9,False,PLE-08,,,768.7,509.4,218.8,22.9
Scene_09,satellite,xfeat_mnn,L09_0027,26,93.83,89.53,91.31,4096,708,10,0.0141,1.489,0.4754,9,False,PLE-08,,,785.8,475.5,274.8,21.9
Scene_09,satellite,xfeat_mnn,L09_0028,27,93.36,89.2,91.18,4096,731,8,0.0109,0.501,0.7573,9,True,,2.4807,8.0,700.9,435.8,235.0,16.5
Scene_09,satellite,xfeat_mnn,L09_0029,28,93.19,89.08,90.45,4096,680,11,0.0162,1.463,1.3915,9,False,PLE-08,,,718.0,454.2,229.3,20.4
Scene_09,satellite,xfeat_mnn,L09_0030,29,93.26,89.05,90.26,4096,658,13,0.0198,1.778,2.0291,9,False,PLE-08,,,769.8,467.8,269.0,19.2
Scene_09,satellite,xfeat_mnn,L09_0031,30,93.22,89.06,90.15,4096,637,5,0.0078,0.244,0.3398,9,False,PLE-08,,,786.4,486.3,267.6,18.7
Scene_09,satellite,xfeat_mnn,L09_0032,31,93.11,89.06,90.38,4096,703,5,0.0071,0.132,1.3101,9,True,,16.5809,8.0,801.8,497.1,276.2,14.6
Scene_09,satellite,xfeat_mnn,L09_0033,32,93.08,89.12,90.19,4096,695,5,0.0072,0.23,0.3405,9,False,PLE-08,,,775.8,497.7,245.2,19.2
Scene_09,satellite,xfeat_mnn,L09_0034,33,93.2,89.0,90.01,4096,689,5,0.0073,0.351,0.7715,9,False,PLE-08,,,736.0,440.1,263.9,18.4
Scene_09,satellite,xfeat_mnn,L09_0035,34,93.17,88.96,89.77,4096,688,5,0.0073,0.06,1.0985,9,False,PLE-08,,,838.1,487.1,308.4,20.6
Scene_09,satellite,xfeat_mnn,L09_0036,35,93.24,89.05,89.72,4096,631,6,0.0095,0.342,0.094,9,False,PLE-08,,,874.4,527.7,314.2,18.3
Scene_09,satellite,xfeat_mnn,L09_0037,36,93.08,89.04,89.8,4096,681,16,0.0235,1.389,1.0003,9,True,,8.9886,8.0,862.8,528.1,304.3,16.5
Scene_09,satellite,xfeat_mnn,L09_0038,37,93.22,89.04,89.87,4096,663,14,0.0211,1.801,0.7791,9,True,,3.3858,8.0,721.8,450.4,242.1,15.1
Scene_09,satellite,xfeat_mnn,L09_0039,38,93.08,89.04,89.94,4096,682,12,0.0176,1.32,0.6496,9,False,PLE-08,,,660.7,409.1,219.6,19.6
Scene_09,satellite,xfeat_mnn,L09_0040,39,92.99,89.08,89.96,4096,649,9,0.0139,0.594,1.0896,9,False,PLE-08,,,677.5,431.7,214.7,18.5
Scene_09,satellite,xfeat_mnn,L09_0041,40,92.94,89.07,90.02,4096,610,17,0.0279,2.042,0.524,9,False,PLE-08,,,655.1,410.4,214.1,18.5
Scene_09,satellite,xfeat_mnn,L09_0042,41,92.71,89.05,90.08,4096,602,12,0.0199,1.421,0.2584,9,False,PLE-08,,,791.8,516.7,218.3,19.1
Scene_09,satellite,xfeat_mnn,L09_0043,42,92.38,89.05,90.14,4096,604,12,0.0199,1.363,0.6901,9,True,,12.504,8.0,657.2,415.3,208.8,19.6
Scene_09,satellite,xfeat_mnn,L09_0044,43,92.29,89.04,90.17,4096,634,7,0.011,0.846,0.6058,9,False,PLE-08,,,679.3,427.9,218.4,20.0
Scene_09,satellite,xfeat_mnn,L09_0045,44,92.04,89.05,90.25,4096,627,7,0.0112,0.647,1.2272,9,False,PLE-08,,,733.0,473.9,224.3,21.9
Scene_09,satellite,xfeat_mnn,L09_0046,45,92.03,89.03,90.29,4096,671,12,0.0179,1.421,0.8062,9,True,,1.2509,8.0,736.8,440.8,267.2,15.5
Scene_09,satellite,xfeat_mnn,L09_0047,46,92.11,89.09,90.26,4096,700,15,0.0214,2.311,0.8171,9,True,,1.7232,8.0,715.3,447.4,239.7,15.7
Scene_09,satellite,xfeat_mnn,L09_0048,47,92.18,89.13,90.3,4096,613,7,0.0114,0.809,4.1848,9,False,PLE-08,,,739.5,463.4,243.3,20.6
Scene_09,satellite,xfeat_mnn,L09_0049,48,91.75,89.16,90.46,4096,618,8,0.0129,1.791,0.5722,9,False,PLE-08,,,802.5,470.7,294.0,20.1
Scene_09,satellite,xfeat_mnn,L09_0050,49,91.77,89.16,91.13,4096,647,12,0.0185,1.976,0.3884,9,False,PLE-08,,,735.6,458.3,241.8,22.2
Scene_09,satellite,xfeat_mnn,L09_0051,50,91.72,89.18,91.56,4096,660,6,0.0091,0.591,0.9226,9,False,PLE-08,,,797.8,430.6,333.1,21.4
Scene_09,satellite,xfeat_mnn,L09_0052,51,91.84,89.01,91.52,4096,714,7,0.0098,0.523,0.7796,9,True,,6.6823,8.0,816.0,477.7,302.5,17.9
Scene_09,satellite,xfeat_mnn,L09_0053,52,91.96,88.9,91.21,4096,719,13,0.0181,1.744,0.4185,9,False,PLE-08,,,834.4,516.2,273.7,23.4
Scene_09,satellite,xfeat_mnn,L09_0054,53,92.21,88.65,90.92,4096,717,12,0.0167,1.134,0.3217,9,False,PLE-08,,,804.3,486.4,277.4,21.1
Scene_09,satellite,xfeat_mnn,L09_0055,54,92.27,88.53,90.68,4096,674,13,0.0193,1.895,0.8186,9,True,,2.6832,8.0,749.5,453.1,261.4,15.2
Scene_09,satellite,xfeat_mnn,L09_0056,55,92.13,88.3,90.49,4096,677,10,0.0148,0.997,1.7785,9,False,PLE-08,,,702.0,446.5,222.5,20.8
Scene_09,satellite,xfeat_mnn,L09_0057,56,92.0,88.17,90.28,4096,653,10,0.0153,1.437,0.707,9,True,,4.966,8.0,680.8,418.9,233.2,15.3
Scene_09,satellite,xfeat_mnn,L09_0058,57,91.98,88.02,90.32,4096,718,12,0.0167,1.244,1.0424,9,True,,3.3197,8.0,686.0,431.4,226.4,15.7
Scene_09,satellite,xfeat_mnn,L09_0059,58,91.72,87.84,90.56,4096,714,5,0.007,0.133,0.8138,9,True,,97.3736,8.0,685.3,427.3,229.8,16.1
Scene_09,satellite,xfeat_mnn,L09_0060,59,91.43,87.65,90.86,4096,748,21,0.0281,1.546,0.3983,9,False,PLE-08,,,675.1,413.9,229.2,20.2
Scene_09,satellite,xfeat_mnn,L09_0061,60,91.04,87.58,90.79,4096,686,18,0.0262,1.515,0.7547,9,True,,4.1973,8.0,666.3,419.5,218.8,15.9
Scene_09,satellite,xfeat_mnn,L09_0062,61,90.5,87.53,90.71,4096,721,14,0.0194,1.798,0.6484,9,False,PLE-08,,,733.0,426.0,274.2,20.9
Scene_09,satellite,xfeat_mnn,L09_0063,62,90.2,87.52,90.45,4096,715,8,0.0112,0.891,0.2918,9,False,PLE-08,,,672.6,414.6,226.7,18.9
Scene_09,satellite,xfeat_mnn,L09_0064,63,90.01,87.38,90.81,4096,751,9,0.012,0.999,5.8749,9,False,PLE-08,,,693.8,431.4,230.0,20.6
Scene_09,satellite,xfeat_mnn,L09_0065,64,89.87,87.36,90.65,4096,774,6,0.0078,0.472,0.1815,9,False,PLE-08,,,712.6,422.5,249.7,20.9
Scene_09,satellite,xfeat_mnn,L09_0066,65,89.9,87.4,90.57,4096,798,6,0.0075,0.496,0.5717,9,False,PLE-08,,,686.5,415.7,236.3,22.0
Scene_09,satellite,xfeat_mnn,L09_0067,66,89.58,87.54,89.03,4096,843,5,0.0059,0.058,2.5088,9,False,PLE-08,,,635.5,377.5,221.4,24.7
Scene_09,satellite,xfeat_mnn,L09_0068,67,89.6,87.61,89.35,4096,800,6,0.0075,0.754,1.9493,9,False,PLE-08,,,731.6,408.1,288.9,22.5
Scene_09,satellite,xfeat_mnn,L09_0069,68,90.01,87.81,89.47,4096,754,9,0.0119,1.814,0.8688,9,True,,5.773,8.0,779.4,463.6,282.8,16.3
Scene_09,satellite,xfeat_mnn,L09_0070,69,90.05,88.05,89.66,4096,717,8,0.0112,0.835,0.3266,9,False,PLE-08,,,743.0,449.2,260.4,20.8
Scene_09,satellite,xfeat_mnn,L09_0071,70,90.05,88.23,89.87,4096,649,12,0.0185,1.669,0.2094,9,False,PLE-08,,,759.0,465.4,262.9,18.6
Scene_09,satellite,xfeat_mnn,L09_0072,71,90.25,88.33,90.11,4096,662,9,0.0136,0.981,1.8903,9,False,PLE-08,,,733.1,436.3,265.2,19.5
Scene_09,satellite,xfeat_mnn,L09_0073,72,90.15,88.41,90.24,4096,669,29,0.0433,1.743,0.8718,9,True,,3.1507,8.0,688.4,425.3,231.1,20.0
Scene_09,satellite,xfeat_mnn,L09_0074,73,90.22,88.45,90.42,4096,689,27,0.0392,1.897,0.9368,9,True,,1.7238,8.0,661.6,408.4,220.3,19.5
Scene_09,satellite,xfeat_mnn,L09_0075,74,90.47,88.56,90.57,4096,697,36,0.0516,1.857,2.4906,9,False,PLE-08,,,737.5,466.2,239.2,20.0
