scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,xfeat_lg,L09_0001,0,63.88,89.44,81.62,512,22,7,0.3182,0.793,0.2779,9,False,PLE-08,,,1483.8,280.1,1143.8,3.2
Scene_09,satellite,xfeat_lg,L09_0002,1,70.66,89.41,82.04,512,68,21,0.3088,1.661,1.3259,9,False,PLE-08,,,1168.1,279.8,860.1,6.4
Scene_09,satellite,xfeat_lg,L09_0003,2,78.25,89.4,82.44,512,24,10,0.4167,1.28,1.1887,9,False,PLE-08,,,1382.5,352.7,1015.2,2.6
Scene_09,satellite,xfeat_lg,L09_0004,3,85.34,89.4,82.7,512,14,10,0.7143,1.119,2.9529,9,False,PLE-08,,,1442.7,411.9,1015.7,1.3
Scene_09,satellite,xfeat_lg,L09_0005,4,91.23,89.42,83.0,512,1,0,0.0,,,9,False,PLE-05,,,1474.6,498.5,962.8,0
Scene_09,satellite,xfeat_lg,L09_0006,5,93.91,89.43,83.24,512,24,7,0.2917,0.521,0.5829,9,False,PLE-08,,,1866.7,569.9,1278.7,3.3
Scene_09,satellite,xfeat_lg,L09_0007,6,93.52,87.17,143.04,512,16,7,0.4375,0.626,1.5517,9,False,PLE-08,,,2282.1,925.6,1336.9,1.5
Scene_09,satellite,xfeat_lg,L09_0008,7,92.33,86.78,144.67,512,49,7,0.1429,0.528,1.0719,9,True,,4.0712,8.0,1761.8,824.9,903.2,10.2
Scene_09,satellite,xfeat_lg,L09_0009,8,92.58,86.7,146.03,512,3,0,0.0,,,9,False,PLE-05,,,1813.6,788.9,1009.1,0
Scene_09,satellite,xfeat_lg,L09_0010,9,92.94,86.86,147.48,512,50,10,0.2,0.768,0.7953,9,False,PLE-08,,,1717.0,772.3,917.9,10.5
Scene_09,satellite,xfeat_lg,L09_0011,10,92.89,87.26,148.38,512,9,0,0.0,,,9,False,PLE-05,,,1813.0,761.4,1035.7,0
Scene_09,satellite,xfeat_lg,L09_0012,11,93.11,87.99,148.84,512,14,6,0.4286,0.386,0.2422,9,False,PLE-08,,,1821.2,805.1,998.8,1.2
Scene_09,satellite,xfeat_lg,L09_0013,12,93.37,89.37,105.79,512,23,7,0.3043,0.666,8.9494,9,False,PLE-08,,,1633.9,648.3,968.7,2.5
Scene_09,satellite,xfeat_lg,L09_0014,13,92.56,89.78,93.72,512,16,7,0.4375,0.939,0.8087,9,False,PLE-08,,,1563.5,486.4,1056.9,2.4
Scene_09,satellite,xfeat_lg,L09_0015,14,93.57,89.73,93.19,512,17,6,0.3529,0.498,0.8463,9,False,PLE-08,,,1376.7,471.5,889.3,2.4
Scene_09,satellite,xfeat_lg,L09_0016,15,93.74,89.85,93.35,512,0,0,0.0,,,9,False,PLE-05,,,1507.2,501.9,992.0,0
Scene_09,satellite,xfeat_lg,L09_0017,16,93.66,89.88,93.38,512,5,0,0.0,,,9,False,PLE-05,,,1373.1,458.8,900.1,0
Scene_09,satellite,xfeat_lg,L09_0018,17,93.23,89.83,93.36,512,1,0,0.0,,,9,False,PLE-05,,,1442.5,470.2,953.1,0
Scene_09,satellite,xfeat_lg,L09_0019,18,93.27,89.78,93.29,512,2,0,0.0,,,9,False,PLE-05,,,1395.1,457.8,924.0,0
Scene_09,satellite,xfeat_lg,L09_0020,19,93.36,89.93,93.43,512,4,0,0.0,,,9,False,PLE-05,,,1411.5,463.1,935.4,0
Scene_09,satellite,xfeat_lg,L09_0021,20,93.06,89.94,93.38,512,3,0,0.0,,,9,False,PLE-05,,,1456.8,430.3,1011.0,0
Scene_09,satellite,xfeat_lg,L09_0022,21,93.23,89.81,93.04,512,3,0,0.0,,,9,False,PLE-05,,,1414.7,451.0,950.6,0
Scene_09,satellite,xfeat_lg,L09_0023,22,93.7,89.91,92.25,512,7,0,0.0,,,9,False,PLE-05,,,1314.1,465.4,836.0,0
Scene_09,satellite,xfeat_lg,L09_0024,23,93.92,89.94,91.82,512,11,0,0.0,,,9,False,PLE-05,,,1385.7,454.6,918.6,0
Scene_09,satellite,xfeat_lg,L09_0025,24,93.97,89.92,91.51,512,3,0,0.0,,,9,False,PLE-05,,,1484.8,479.2,993.7,0
Scene_09,satellite,xfeat_lg,L09_0026,25,93.93,89.76,91.42,512,12,4,0.3333,0.0,1.1234,9,False,PLE-08,,,1680.1,454.6,1209.4,1.3
Scene_09,satellite,xfeat_lg,L09_0027,26,93.83,89.53,91.31,512,3,0,0.0,,,9,False,PLE-05,,,1402.5,446.6,940.6,0
Scene_09,satellite,xfeat_lg,L09_0028,27,93.36,89.2,91.18,512,3,0,0.0,,,9,False,PLE-05,,,1314.1,388.7,912.4,0
Scene_09,satellite,xfeat_lg,L09_0029,28,93.19,89.08,90.45,512,5,0,0.0,,,9,False,PLE-05,,,1311.5,373.2,926.3,0
Scene_09,satellite,xfeat_lg,L09_0030,29,93.26,89.05,90.26,512,1,0,0.0,,,9,False,PLE-05,,,1392.5,425.1,955.0,0
Scene_09,satellite,xfeat_lg,L09_0031,30,93.22,89.06,90.15,512,4,0,0.0,,,9,False,PLE-05,,,1309.0,383.8,912.6,0
Scene_09,satellite,xfeat_lg,L09_0032,31,93.11,89.06,90.38,512,6,0,0.0,,,9,False,PLE-05,,,1319.5,385.8,921.6,0
Scene_09,satellite,xfeat_lg,L09_0033,32,93.08,89.12,90.19,512,14,5,0.3571,0.572,1.5018,9,False,PLE-08,,,1278.6,390.5,873.4,1.6
Scene_09,satellite,xfeat_lg,L09_0034,33,93.2,89.0,90.01,512,0,0,0.0,,,9,False,PLE-05,,,1716.7,457.7,1246.6,0
Scene_09,satellite,xfeat_lg,L09_0035,34,93.17,88.96,89.77,512,9,0,0.0,,,9,False,PLE-05,,,1702.9,555.7,1130.4,0
Scene_09,satellite,xfeat_lg,L09_0036,35,93.24,89.05,89.72,512,2,0,0.0,,,9,False,PLE-05,,,1433.3,410.9,1004.5,0
Scene_09,satellite,xfeat_lg,L09_0037,36,93.08,89.04,89.8,512,3,0,0.0,,,9,False,PLE-05,,,1339.6,400.5,926.0,0
Scene_09,satellite,xfeat_lg,L09_0038,37,93.22,89.04,89.87,512,8,0,0.0,,,9,False,PLE-05,,,1468.7,401.9,1053.7,0
