scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,edgepoint2_s64,L09_0001,0,63.88,89.44,81.62,1024,171,5,0.0292,0.224,0.4332,9,False,PLE-08,,,423.1,295.2,35.8,13.0
Scene_09,satellite,edgepoint2_s64,L09_0002,1,70.66,89.41,82.04,1024,154,6,0.039,0.515,0.9928,9,False,PLE-08,,,361.3,289.1,49.8,9.9
Scene_09,satellite,edgepoint2_s64,L09_0003,2,78.25,89.4,82.44,1024,159,5,0.0314,0.178,0.7179,9,False,PLE-08,,,479.1,401.4,54.8,10.1
Scene_09,satellite,edgepoint2_s64,L09_0004,3,85.34,89.4,82.7,1024,153,6,0.0392,0.616,1.1361,9,True,,4.4935,8.0,498.1,426.0,50.3,6.5
Scene_09,satellite,edgepoint2_s64,L09_0005,4,91.23,89.42,83.0,1024,153,7,0.0458,0.79,0.48,9,False,PLE-08,,,631.0,560.5,47.1,10.0
Scene_09,satellite,edgepoint2_s64,L09_0006,5,93.91,89.43,83.24,1024,153,5,0.0327,0.211,0.8916,9,True,,3.5262,8.0,638.6,577.4,38.7,8.8
Scene_09,satellite,edgepoint2_s64,L09_0007,6,93.52,87.17,143.04,1024,162,4,0.0247,,0.9198,9,True,,107.2305,8.0,870.3,786.7,52.8,8.2
Scene_09,satellite,edgepoint2_s64,L09_0008,7,92.33,86.78,144.67,1024,143,6,0.042,0.56,1.8774,9,False,PLE-08,,,840.5,767.7,49.0,9.6
Scene_09,satellite,edgepoint2_s64,L09_0009,8,92.58,86.7,146.03,1024,133,6,0.0451,0.767,0.2101,9,False,PLE-08,,,923.5,849.2,49.1,8.6
Scene_09,satellite,edgepoint2_s64,L09_0010,9,92.94,86.86,147.48,1024,140,6,0.0429,1.226,2.0912,9,False,PLE-08,,,888.3,800.0,54.5,10.6
Scene_09,satellite,edgepoint2_s64,L09_0011,10,92.89,87.26,148.38,1024,132,5,0.0379,0.141,0.0281,9,False,PLE-08,,,831.0,734.4,71.3,9.0
Scene_09,satellite,edgepoint2_s64,L09_0012,11,93.11,87.99,148.84,1024,123,5,0.0407,0.285,0.4535,9,False,PLE-08,,,872.6,797.2,48.5,8.9
Scene_09,satellite,edgepoint2_s64,L09_0013,12,93.37,89.37,105.79,1024,149,5,0.0336,0.119,0.1244,9,False,PLE-08,,,682.9,604.3,54.8,9.5
Scene_09,satellite,edgepoint2_s64,L09_0014,13,92.56,89.78,93.72,1024,138,5,0.0362,0.312,1.5436,9,False,PLE-08,,,603.1,529.4,48.9,10.7
Scene_09,satellite,edgepoint2_s64,L09_0015,14,93.57,89.73,93.19,1024,149,5,0.0336,0.09,17.8032,9,False,PLE-08,,,559.6,491.7,43.8,10.3
Scene_09,satellite,edgepoint2_s64,L09_0016,15,93.74,89.85,93.35,1024,152,5,0.0329,0.275,0.9489,9,False,PLE-08,,,547.3,478.1,41.9,12.2
Scene_09,satellite,edgepoint2_s64,L09_0017,16,93.66,89.88,93.38,1024,160,5,0.0312,0.097,0.6454,9,False,PLE-08,,,550.4,474.6,49.3,9.9
Scene_09,satellite,edgepoint2_s64,L09_0018,17,93.23,89.83,93.36,1024,170,5,0.0294,0.296,1.0424,9,False,PLE-08,,,554.2,476.7,52.1,11.8
Scene_09,satellite,edgepoint2_s64,L09_0019,18,93.27,89.78,93.29,1024,163,5,0.0307,0.206,0.6315,9,False,PLE-08,,,567.3,488.9,48.7,10.0
Scene_09,satellite,edgepoint2_s64,L09_0020,19,93.36,89.93,93.43,1024,164,5,0.0305,0.241,1.0416,9,False,PLE-08,,,607.8,529.8,51.8,10.1
Scene_09,satellite,edgepoint2_s64,L09_0021,20,93.06,89.94,93.38,1024,180,5,0.0278,0.103,1.2863,9,False,PLE-08,,,575.4,488.5,54.3,11.0
Scene_09,satellite,edgepoint2_s64,L09_0022,21,93.23,89.81,93.04,1024,149,4,0.0268,,1.1044,9,True,,0.8167,8.0,537.1,473.7,42.1,8.3
Scene_09,satellite,edgepoint2_s64,L09_0023,22,93.7,89.91,92.25,1024,143,6,0.042,0.615,1.0961,9,False,PLE-08,,,558.1,476.1,57.8,10.9
Scene_09,satellite,edgepoint2_s64,L09_0024,23,93.92,89.94,91.82,1024,152,6,0.0395,0.819,4.0863,9,False,PLE-08,,,590.6,512.3,51.8,10.3
Scene_09,satellite,edgepoint2_s64,L09_0025,24,93.97,89.92,91.51,1024,137,4,0.0292,,4.0494,9,False,PLE-08,,,584.8,508.9,51.6,9.6
Scene_09,satellite,edgepoint2_s64,L09_0026,25,93.93,89.76,91.42,1024,146,5,0.0342,0.08,1.9986,9,False,PLE-08,,,553.2,475.0,54.1,9.8
Scene_09,satellite,edgepoint2_s64,L09_0027,26,93.83,89.53,91.31,1024,127,5,0.0394,0.408,3.3722,9,False,PLE-08,,,541.4,463.8,48.6,8.3
Scene_09,satellite,edgepoint2_s64,L09_0028,27,93.36,89.2,91.18,1024,111,5,0.045,0.254,7.6934,9,False,PLE-08,,,493.9,421.2,45.1,7.5
Scene_09,satellite,edgepoint2_s64,L09_0029,28,93.19,89.08,90.45,1024,103,5,0.0485,0.581,6.894,9,False,PLE-08,,,460.7,400.7,40.8,6.4
Scene_09,satellite,edgepoint2_s64,L09_0030,29,93.26,89.05,90.26,1024,95,5,0.0526,0.435,0.2648,9,False,PLE-08,,,434.8,381.7,33.8,5.3
Scene_09,satellite,edgepoint2_s64,L09_0031,30,93.22,89.06,90.15,1024,71,5,0.0704,0.312,1.3097,9,False,PLE-08,,,479.3,421.5,36.3,5.0
Scene_09,satellite,edgepoint2_s64,L09_0032,31,93.11,89.06,90.38,1024,79,5,0.0633,0.372,0.1829,9,False,PLE-08,,,456.6,382.5,45.4,6.2
Scene_09,satellite,edgepoint2_s64,L09_0033,32,93.08,89.12,90.19,1024,69,4,0.058,,0.1,9,False,PLE-08,,,464.4,407.3,39.2,5.1
Scene_09,satellite,edgepoint2_s64,L09_0034,33,93.2,89.0,90.01,1024,63,4,0.0635,0.001,1.3205,9,False,PLE-08,,,456.6,391.4,48.6,3.8
Scene_09,satellite,edgepoint2_s64,L09_0035,34,93.17,88.96,89.77,1024,71,5,0.0704,0.62,1.3415,9,False,PLE-08,,,534.2,465.5,50.7,4.1
Scene_09,satellite,edgepoint2_s64,L09_0036,35,93.24,89.05,89.72,1024,95,5,0.0526,0.861,1.0557,9,False,PLE-08,,,465.6,395.5,48.7,5.8
Scene_09,satellite,edgepoint2_s64,L09_0037,36,93.08,89.04,89.8,1024,108,5,0.0463,0.229,0.0564,9,False,PLE-08,,,444.1,390.5,33.4,7.1
Scene_09,satellite,edgepoint2_s64,L09_0038,37,93.22,89.04,89.87,1024,89,7,0.0787,1.024,0.64,9,False,PLE-08,,,451.8,395.3,37.5,5.2
Scene_09,satellite,edgepoint2_s64,L09_0039,38,93.08,89.04,89.94,1024,124,5,0.0403,0.486,0.3753,9,False,PLE-08,,,471.7,403.6,46.9,6.4
Scene_09,satellite,edgepoint2_s64,L09_0040,39,92.99,89.08,89.96,1024,140,5,0.0357,0.198,3.6106,9,False,PLE-08,,,463.6,393.0,48.1,8.5
Scene_09,satellite,edgepoint2_s64,L09_0041,40,92.94,89.07,90.02,1024,130,5,0.0385,0.319,1.9623,9,False,PLE-08,,,493.1,419.6,48.8,9.4
Scene_09,satellite,edgepoint2_s64,L09_0042,41,92.71,89.05,90.08,1024,140,5,0.0357,0.373,15.8178,9,False,PLE-08,,,442.3,380.6,39.0,9.2
